abbreviation,name,pubchem_cid,smiles,molecular_formula,note,source
BPA,Bisphenol A,6623,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,C15H16O2,parent compound; the study target,PubChem CID 6623 (https://pubchem.ncbi.nlm.nih.gov/compound/6623)
BPS,Bisphenol S,6626,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,C12H10O4S,common BPA substitute; REACH substance of very high concern for ED properties,"PubChem CID 6626; Regrettable substitution? Comparative study of BPA and 11 analogues, Environ Sci Eur 2024 (https://link.springer.com/article/10.1186/s12302-024-00900-1)"
BPF,Bisphenol F,12111,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,C13H12O2,common BPA substitute,"PubChem CID 12111; Exposure to BPS and BPF review, PMC9736995 (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9736995/)"
BPAF,Bisphenol AF,73864,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,C15H10F6O2,highest reported progesterone-receptor docking affinity among analogs tested (Ji et al. 2026); also binds ERalpha/ERbeta,"PubChem CID 73864; Ji et al. Replacing BPA: Structural Substitutes BPAF Binding to PR Elevates Breast Cancer Risk, Adv Sci 2026 (https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202502444)"
BPB,Bisphenol B,66166,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,C16H18O2,REACH substance of very high concern; strong PR and ERRgamma binder,"PubChem CID 66166; RCSB 6I61 (ERRgamma-BPB complex); Environ Sci Eur 2024"
BPE,Bisphenol E,608116,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,C14H14O2,tested analog in comparative EDC panels; ERRgamma complex solved (6I64),"PubChem CID 608116; RCSB 6I64"
BPZ,Bisphenol Z,232446,C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,C18H20O2,tested analog in comparative EDC panels (cyclohexylidene bridge),"PubChem CID 232446; Environ Sci Eur 2024"
BPC,"4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol (""Bisphenol C\, dimethyl variant"")",6620,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,C17H20O2,"CAUTION (confirmed by follow-up literature agent, see eralpha_literature_check.csv): PubChem's canonical ""Bisphenol C"" (CID 6620, this row) is the dimethyl-substituted congener, CAS 79-97-0. It has NO published ERalpha data. The compound EDC toxicology actually calls BPC -- crystallized with ERalpha, ~410x more potent than BPA (Liu et al. 2021 PLOS ONE 16(2):e0246583) -- is CAS 14868-03-2, a dichloro-vinylidene-bridged structure, not this one. A third, again different, ring-chlorinated propane-bridged compound (3,3'-dichloro-BPA) appears in Kitamura et al. 2005 Toxicol Sci. None of the three share a structure; do not conflate them.",PubChem CID 6620
BPAP,Bisphenol AP,623849,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,C20H18O2,tested analog; reported widespread endocrine-suppressing effects alongside BPAF,"PubChem CID 623849; Environ Sci Eur 2024"
TBBPA,Tetrabromobisphenol A,6618,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,C15H12Br4O2,brominated flame retardant; PPARgamma complex solved (3OSW),"PubChem CID 6618; RCSB 3OSW"
TCBPA,Tetrachlorobisphenol A,6619,CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,C15H12Cl4O2,chlorinated analog; PPARgamma complex solved (3OSI),"PubChem CID 6619; PDBj 3OSI; Structural Studies on the Binding Mode of Bisphenols to PPARgamma, PMC11202036"
