receptor,ligand,drugclip_score,predicted_rmsd,ligand_class
AR,BPAF,0.5208,11.546584129333496,bisphenol
AR,BPS,0.1364,12.02608871459961,bisphenol
AR,BPZ,0.5708,12.355962753295898,bisphenol
AR,RANDOM1,,5.250752925872803,random
AR,RANDOM2,,4.1818342208862305,random
AR,RANDOM3,,14.216107368469238,random
ERRgamma,BPAF,0.6996,11.101490020751951,bisphenol
ERRgamma,BPS,0.4351,11.707155227661133,bisphenol
ERRgamma,BPZ,0.8189,11.401819229125977,bisphenol
ERRgamma,RANDOM1,,6.031394004821777,random
ERRgamma,RANDOM2,,4.517614364624023,random
ERRgamma,RANDOM3,,7.447357177734375,random
ERalpha,BPAF,0.481,11.376670837402344,bisphenol
ERalpha,BPS,0.3186,12.033470153808594,bisphenol
ERalpha,BPZ,0.6577,11.371739387512209,bisphenol
ERalpha,RANDOM1,,5.134871482849121,random
ERalpha,RANDOM2,,4.429168224334717,random
ERalpha,RANDOM3,,11.810012817382812,random
PPARgamma,BPAF,0.0276,11.608089447021484,bisphenol
PPARgamma,BPS,-0.0963,12.16732406616211,bisphenol
PPARgamma,BPZ,0.0665,13.046834945678713,bisphenol
PPARgamma,RANDOM1,,7.317394256591797,random
PPARgamma,RANDOM2,,4.76322603225708,random
PPARgamma,RANDOM3,,6.148927211761475,random
PR,BPAF,0.2621,11.634943962097168,bisphenol
PR,BPS,0.0834,13.550923347473145,bisphenol
PR,BPZ,0.4068,13.348440170288086,bisphenol
PR,RANDOM1,,7.075980186462402,random
PR,RANDOM2,,5.989512920379639,random
PR,RANDOM3,,15.452593803405762,random
THRbeta,BPAF,0.3936,13.576711654663086,bisphenol
THRbeta,BPS,0.4443,13.856650352478027,bisphenol
THRbeta,BPZ,0.3423,14.144004821777344,bisphenol
THRbeta,RANDOM1,,6.5842132568359375,random
THRbeta,RANDOM2,,6.131638050079346,random
THRbeta,RANDOM3,,17.039793014526367,random
