receptor,ligand,ig_pred_rmsd,ig_pred_pkd,unimol_prmsd
ERRgamma,BPS,1.4411696,6.025304,11.707155227661133
ERRgamma,BPAF,1.9980814,6.419656,11.101490020751953
ERRgamma,BPZ,2.195693,5.9933324,11.401819229125977
ERRgamma,RANDOM1,5.696421,2.663298,6.031394004821777
ERRgamma,RANDOM2,4.1468644,3.1276073,4.517614364624023
ERRgamma,RANDOM3,2.967979,5.001319,7.447357177734375
AR,BPS,4.9740186,-0.30086732,12.02608871459961
AR,BPAF,4.319532,4.3065777,11.546584129333496
AR,BPZ,3.5422394,5.414938,12.355962753295898
AR,RANDOM1,3.803971,4.7206016,5.250752925872803
AR,RANDOM2,3.9909382,5.3839593,4.1818342208862305
AR,RANDOM3,3.3644962,6.2774315,14.216107368469238
ERalpha,BPS,1.8409567,5.327288,12.033470153808594
ERalpha,BPAF,3.0404508,3.394503,11.376670837402344
ERalpha,BPZ,1.5292897,5.8160815,11.371739387512207
ERalpha,RANDOM1,2.629435,5.074727,5.134871482849121
ERalpha,RANDOM2,3.9134984,2.1458013,4.429168224334717
ERalpha,RANDOM3,3.8237839,4.2247367,11.810012817382812
PPARgamma,BPS,3.945406,2.8513727,12.16732406616211
PPARgamma,BPAF,3.5569215,3.9297192,11.608089447021484
PPARgamma,BPZ,4.56583,2.9352603,13.046834945678711
PPARgamma,RANDOM1,4.8876724,3.079658,7.317394256591797
PPARgamma,RANDOM2,5.7687273,1.3910143,4.76322603225708
PPARgamma,RANDOM3,3.750273,3.5528653,6.148927211761475
PR,BPS,2.6222715,6.191928,13.550923347473145
PR,BPAF,2.0918634,6.619675,11.634943962097168
PR,BPZ,2.6656518,6.533609,13.348440170288086
PR,RANDOM1,3.2592926,5.1824174,7.075980186462402
PR,RANDOM2,4.4095073,4.587005,5.989512920379639
PR,RANDOM3,3.2835798,4.691534,15.452593803405762
THRbeta,BPS,4.494324,2.5683742,13.856650352478027
THRbeta,BPAF,3.1727693,6.434346,13.576711654663086
THRbeta,BPZ,3.944239,4.3838615,14.144004821777344
THRbeta,RANDOM1,4.0700583,6.310605,6.5842132568359375
THRbeta,RANDOM2,1.7314048,6.858122,6.131638050079346
THRbeta,RANDOM3,4.312298,6.4600735,17.039793014526367
