output_ligand_name,input_protein,input_ligand,output_ligand_sdf,predicted_rmsd
ERRgamma__BPS,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPS.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__BPS.sdf,11.707155227661133
ERRgamma__BPAF,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPAF.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__BPAF.sdf,11.101490020751953
ERRgamma__BPZ,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPZ.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__BPZ.sdf,11.401819229125977
ERRgamma__RANDOM1,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM1.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__RANDOM1.sdf,6.031394004821777
ERRgamma__RANDOM2,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM2.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__RANDOM2.sdf,4.517614364624023
ERRgamma__RANDOM3,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/ERRgamma.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM3.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/ERRgamma__RANDOM3.sdf,7.447357177734375
AR__BPS,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/AR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPS.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/AR__BPS.sdf,12.02608871459961
AR__BPAF,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/AR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPAF.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/AR__BPAF.sdf,11.546584129333496
AR__BPZ,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/AR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/BPZ.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/AR__BPZ.sdf,12.355962753295898
AR__RANDOM1,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/AR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM1.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/AR__RANDOM1.sdf,5.250752925872803
AR__RANDOM2,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/AR.pdb,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/inputs/RANDOM2.sdf,/Users/dudnqux/Documents/github/regvelo/drugclip/bpa_panel/docking/predict_sdf/AR__RANDOM2.sdf,4.1818342208862305
