rank,percentile,smi,score
1,100.000,CCCCOc1ccc(C2=Nc3cc(C)ccc3NC(c3ccc(OC)cc3)=N2)cc1,0.5984
2,99.995,CCN(Cc1ccccc1)Cc1c(O)ccc2c(=O)c(-c3ccc(Cl)cc3)coc12,0.5722
3,99.990,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.5711
4,99.985,COc1ccc(C2OCCc3cc(OC)c(OC)cc32)cc1OC,0.5692
5,99.980,CCCOC(=O)C(CC)Oc1ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C(F)(F)F)oc2c1,0.5468
6,99.975,CC(C)=CCC/C(C)=C/COc1ccc2c3c(c(=O)oc2c1)CCC3,0.5253
7,99.970,CCCc1cc(=O)oc2c(C)c(OCC(=O)c3ccc(Br)cc3)ccc12,0.5062
8,99.965,CCCCOc1ccc(C(=O)Nc2ccc(N3CCN(CC)CC3)c(Cl)c2)cc1,0.4799
9,99.960,CSCCN1CCN(C(=O)c2ccc(O)c(Cl)c2)CC1,0.4745
10,99.955,CSc1ncc(-c2c(C)c(-c3ccc(O)cc3)nc(N)c2C#N)cn1,0.4720
11,99.950,COc1ccccc1COc1cc(C)cc2oc(=O)c3c(c12)CCCC3,0.4684
12,99.945,Cc1ccc(C(c2ccccc2)N2CCN(S(=O)(=O)c3cccc(Cl)c3C)CC2)cc1,0.4643
13,99.940,COc1cc(Br)c(C2CC(=O)NC(C)=C2C(=O)OCc2ccc(C)cc2)cc1OC,0.4626
14,99.935,COc1ccc(C2(C)CCc3oc4ccccc4c3-c3oc(C)cc32)cc1,0.4591
15,99.930,COc1cc2c(cc1OC)CN(S(=O)(=O)c1ccc(Oc3ccccc3OC)cc1)CC2,0.4591
16,99.925,Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(C)c1O,0.4515
17,99.920,CCOc1ccc(/C=C2/NCCc3cc(OCC)c(OCC)cc32)cc1OCC,0.4442
18,99.915,CCN1/C(=C/C=C/c2oc3ccc4ccccc4c3[n+]2CC)Oc2ccc3ccccc3c21.Cc1ccc(S(=O)(=O)[O-])cc1,0.4382
19,99.910,COc1ccc(C(=O)N2CCc3cc(OC)c(OC)cc3C2c2ccc(OC)c(OC)c2)cc1,0.4274
20,99.905,COc1ccccc1C(=O)Nc1ccnn1C1CCN(Cc2ccc(O)c(Cl)c2)CC1,0.4260
21,99.900,COc1ccc([C@H]2Nc3c(OC)ccc(C)c3[C@H]3C=CC[C@H]32)cc1[N+](=O)[O-],0.4222
22,99.895,COc1cc2c(cc1OC)C1(CCN(c3ccnc(C)n3)CC1)OCC2,0.4208
23,99.890,Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(C)c1OC(=O)c1ccc([N+](=O)[O-])cc1,0.4182
24,99.885,CCOC(=O)[C@](O)(c1ccc(O)c(OC)c1)C(F)(F)F,0.4171
25,99.880,COc1cc2c(cc1OC)C1(CCN(c3nccs3)CC1)OCC2,0.4107
26,99.875,COc1ccc(CN2CCC[C@@]3(CCc4cnc(C)nc43)C2)c(Cl)c1OC,0.4084
27,99.870,Cc1ccc(C(C)C)c(OCCOc2ccc(C=O)cc2Cl)c1,0.4071
28,99.865,CCCc1cc(=O)oc2cc(Oc3ccc([N+](=O)[O-])cc3C(F)(F)F)ccc12,0.4052
29,99.860,COc1cc([C@@H]2CC(=O)Oc3c2c(=O)oc2ccccc32)ccc1O,0.4001
30,99.855,CCCn1c(CCc2ccc(NS(=O)(=O)c3ccc(CC(C)C)cc3)cc2)nc2ccccc21,0.3895
31,99.850,CC(C)Cc1ccc(S(=O)(=O)NCCc2n[nH]c(-c3ccc(Cl)cc3)n2)cc1,0.3883
32,99.845,CCCCN(CC)C(=O)c1ccc(OC)c([N+](=O)[O-])c1,0.3859
33,99.840,Cc1ccc(C2c3cccn3CCN2S(=O)(=O)c2ccc(Cl)cc2)cc1,0.3827
34,99.835,C=CCc1cccc(OC)c1OCc1ccc(C(=O)O)cc1,0.3777
35,99.830,CCCCN(CCCC)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.3710
36,99.825,COc1cccc2c1OCC([C@H]1CC(=O)Nc3c1c(C)nn3C(C)C)=C2,0.3679
37,99.820,COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OC2CCCC2)C3c2ccc([N+](=O)[O-])cc2)cc1OC,0.3669
38,99.815,CCCCOC(=O)COc1ccc2c(=O)c(Oc3ccccc3)c(C)oc2c1,0.3643
39,99.810,Cc1cc(CN2CCC[C@@]3(CCc4c(N5CC(O)C5)nc(C5CC5)nc43)C2)n[nH]1,0.3619
40,99.805,COc1ccc(CCNc2ncnc3c2cnn3-c2ccc(C)c(Cl)c2)cc1OC,0.3617
41,99.800,COc1ccc(N2CCN(c3ncc(S(=O)(=O)c4ccc(C(C)C)cc4)c(N)n3)CC2)cc1,0.3609
42,99.795,COc1ccc(-n2c(/C=C/N(C)C)c([N+](=O)[O-])c3ccc(O)c(CN4CCOCC4)c32)cc1,0.3606
43,99.790,COc1ccccc1OCCCOc1cc(Cl)ccc1Cl,0.3568
44,99.785,COC(=O)[C@H](Nc1nccc(CCC(F)(F)F)n1)c1ccc(O)cc1,0.3563
45,99.780,CCN(Cc1ccc(C(=O)N2CCCC2)cc1)S(=O)(=O)c1ccccc1,0.3556
46,99.775,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12,0.3536
