receptor,compound,score,rank_in_receptor,percentile_in_receptor
ERalpha,BPZ,0.6577,1,100.0
ERalpha,BPB,0.6177,2,90.9
ERalpha,BPC,0.6037,3,81.8
ERalpha,TCBPA,0.5813,4,72.7
ERalpha,BPA,0.5711,5,63.6
ERalpha,BPE,0.5587,6,54.5
ERalpha,BPAP,0.5482,7,45.5
ERalpha,TBBPA,0.5337,8,36.4
ERalpha,BPAF,0.4810,9,27.3
ERalpha,BPS,0.3186,10,18.2
ERalpha,BPF,0.2023,11,9.1
ERbeta,TCBPA,0.5342,1,100.0
ERbeta,TBBPA,0.5034,2,90.9
ERbeta,BPZ,0.5014,3,81.8
ERbeta,BPC,0.4782,4,72.7
ERbeta,BPB,0.4538,5,63.6
ERbeta,BPA,0.4183,6,54.5
ERbeta,BPS,0.4148,7,45.5
ERbeta,BPE,0.3883,8,36.4
ERbeta,BPAP,0.3879,9,27.3
ERbeta,BPAF,0.3796,10,18.2
ERbeta,BPF,0.1198,11,9.1
ERRgamma,BPE,0.8335,1,100.0
ERRgamma,BPA,0.8267,2,90.9
ERRgamma,BPB,0.8206,3,81.8
ERRgamma,BPZ,0.8189,4,72.7
ERRgamma,BPAP,0.7984,5,63.6
ERRgamma,BPC,0.7269,6,54.5
ERRgamma,BPAF,0.6996,7,45.5
ERRgamma,TBBPA,0.4821,8,36.4
ERRgamma,TCBPA,0.4734,9,27.3
ERRgamma,BPS,0.4351,10,18.2
ERRgamma,BPF,0.4105,11,9.1
PPARgamma,BPZ,0.0665,1,100.0
PPARgamma,BPB,0.0330,2,90.9
PPARgamma,BPAF,0.0276,3,81.8
PPARgamma,BPC,0.0211,4,72.7
PPARgamma,TCBPA,0.0169,5,63.6
PPARgamma,BPA,0.0148,6,54.5
PPARgamma,TBBPA,0.0125,7,45.5
PPARgamma,BPE,-0.0134,8,36.4
PPARgamma,BPAP,-0.0262,9,27.3
PPARgamma,BPF,-0.0553,10,18.2
PPARgamma,BPS,-0.0963,11,9.1
AR,BPA,0.5887,1,100.0
AR,BPB,0.5884,2,90.9
AR,BPZ,0.5708,3,81.8
AR,BPC,0.5695,4,72.7
AR,BPAP,0.5626,5,63.6
AR,BPE,0.5461,6,54.5
AR,BPAF,0.5208,7,45.5
AR,TCBPA,0.4486,8,36.4
AR,BPF,0.3796,9,27.3
AR,TBBPA,0.3786,10,18.2
AR,BPS,0.1364,11,9.1
THRbeta,TCBPA,0.4949,1,100.0
THRbeta,TBBPA,0.4827,2,90.9
THRbeta,BPS,0.4443,3,81.8
THRbeta,BPC,0.4392,4,72.7
THRbeta,BPAF,0.3936,5,63.6
THRbeta,BPB,0.3915,6,54.5
THRbeta,BPE,0.3810,7,45.5
THRbeta,BPA,0.3707,8,36.4
THRbeta,BPAP,0.3585,9,27.3
THRbeta,BPZ,0.3423,10,18.2
THRbeta,BPF,0.1556,11,9.1
PR,TCBPA,0.4424,1,100.0
PR,BPC,0.4087,2,90.9
PR,BPZ,0.4068,3,81.8
PR,BPB,0.3751,4,72.7
PR,BPAP,0.3632,5,63.6
PR,BPA,0.3497,6,54.5
PR,TBBPA,0.3364,7,45.5
PR,BPE,0.2845,8,36.4
PR,BPAF,0.2621,9,27.3
PR,BPF,0.1233,10,18.2
PR,BPS,0.0834,11,9.1
