abbreviation,chembl_id,receptor,pchembl_values
BPA,CHEMBL418971,AR,5.23
BPA,CHEMBL418971,AR(2),4.13;4.47;4.65
BPA,CHEMBL418971,ERRγ,8.26;8.31
BPA,CHEMBL418971,ERα,5.64;6.19;6.54;6.30;5.77;6.04;6.10;6.31
BPA,CHEMBL418971,ERβ,5.96;6.06;6.12;6.17
BPF,CHEMBL138061,ERα,6.04;5.85;6.04
BPF,CHEMBL138061,ERβ,5.72
BPAF,CHEMBL1900054,ERα,7.40;7.70
BPAF,CHEMBL1900054,ERβ,7.83;7.97;7.16
BPB,CHEMBL371077,AR(2),4.42
BPE,CHEMBL2392656,ERα,5.21
BPE,CHEMBL2392656,ERβ,5.62;5.86
BPZ,CHEMBL1231453,ERα,6.28
BPZ,CHEMBL1231453,ERβ,6.25
BPC,CHEMBL2392777,ERα,5.92;6.88;5.92;5.86
BPAP,CHEMBL490942,ERα,4.92
BPAP,CHEMBL490942,ERβ,5.85
