pocket,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,Oc1ccc(Cc2ccc(O)cc2)cc1,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(c1ccc(O)cc1)c1ccc(O)cc1,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
ERalpha,0.5943,0.2619,0.5565,0.1862,0.5556,0.5968,0.5700,0.5464,0.6280,0.5978,0.5479
ERbeta,0.4676,0.3183,0.4606,0.3679,0.5571,0.4598,0.4556,0.5220,0.5164,0.3823,0.4654
PPARdelta,-0.0086,-0.1277,0.2284,-0.2580,-0.0476,0.0099,-0.0643,-0.0474,0.0447,-0.0314,0.2932
THRalpha,0.2784,0.3217,0.4850,-0.0308,0.3451,0.3010,0.2615,0.2543,0.3687,0.2572,0.4821
ERRbeta,0.7682,0.2617,0.4655,0.3363,0.7869,0.7944,0.7873,0.8180,0.7327,0.7497,0.4590
VDR,0.3278,0.0780,0.2614,0.0681,0.1937,0.3878,0.3686,0.3093,0.3922,0.2682,0.2660
PXR,0.3554,0.0800,0.3123,-0.0717,0.2023,0.3901,0.3302,0.3461,0.4033,0.3863,0.3129
RXRalpha,0.2673,-0.0868,0.5289,-0.2025,0.3787,0.2947,0.2208,0.1696,0.3439,0.2540,0.5509
ERRgamma,0.5890,0.3676,0.5031,0.2410,0.5041,0.5697,0.5359,0.5384,0.5585,0.5692,0.5445
PPARgamma,0.3430,0.0883,0.6142,0.0595,0.2768,0.3605,0.2754,0.2643,0.4138,0.3220,0.6526
AR,0.5053,0.1626,0.4744,0.2906,0.4316,0.5042,0.4393,0.4979,0.5184,0.4821,0.3909
THRbeta,0.2943,0.3775,0.4619,0.0547,0.3348,0.3115,0.2890,0.2696,0.3675,0.2663,0.4498
PR,0.5102,0.2636,0.4447,0.4292,0.4275,0.4903,0.4651,0.5105,0.4965,0.4859,0.3645
GR,0.5099,0.2583,0.6413,0.1509,0.4615,0.5156,0.4119,0.5655,0.5856,0.5514,0.5648
MR,0.4005,0.1634,0.5377,0.2143,0.4199,0.3980,0.3358,0.4494,0.4914,0.4448,0.4766
PPARalpha,0.1649,-0.0536,0.2854,0.0656,0.0501,0.1899,0.1573,0.1177,0.1742,0.1258,0.3390
