chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL4850003,AR,6.375,,2,0,Active,exact,CN1CCC(Oc2ncc(N3C(=S)N(c4cnc(C#N)c(C(F)(F)F)c4)C(=O)C34CCC4)cn2)CC1
CHEMBL2159732,AR,5.600,,1,0,,exact,O=[N+]([O-])c1ccc(C2=NO[C@H]3CCC[C@@H]23)cc1C(F)(F)F
CHEMBL5205113,AR,,4.602,0,1,Inactive,censored,N#Cc1ccc(-n2ccc(CC(=O)Nc3ccncc3)n2)cc1C(F)(F)F
CHEMBL2159570,AR,6.890,,1,0,Active,exact,O=[N+]([O-])c1ccc(C2=NO[C@@H]3CCCC[C@H]23)c(C(F)(F)F)c1
CHEMBL1385514,AR,6.890,,1,0,Active,exact,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](Cl)C[C@@]21C
CHEMBL390577,AR,6.690,,1,0,Active,exact,O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)OCCN3Cc1ccccc1
CHEMBL3818405,AR,7.200,,1,0,Active,exact,CC(O)(c1ccc(C#N)c(Cl)c1Cl)C(F)(F)F
CHEMBL3318062,AR,5.660,,2,0,,exact,Cc1ccc2cc(C(=O)N(Cc3ccc(C)o3)C(C)C)[nH]c2c1
CHEMBL246139,AR,6.140,,1,0,Active,exact,C/C=C\[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12
CHEMBL156641,AR,6.340,,1,0,Active,exact,C[C@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C
CHEMBL1934443,AR,8.055,,2,0,Active,exact,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1
CHEMBL227463,AR,7.240,,1,0,Active,exact,CCC1CN(C)c2cc3c(C(F)(F)F)cc(=O)[nH]c3cc2O1
CHEMBL3682516,AR,,5.000,0,1,,censored,OC1(C(F)(F)F)c2[nH]c3c(Cl)cc(F)cc3c2CCC1C(F)(F)F
CHEMBL5086603,AR,5.100,,1,0,,exact,CCS(=O)(=O)Nc1ccc(OCc2ccccc2)cc1
