chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL5625062,ERRgamma,6.620,,1,0,Active,exact,CS(=O)(=O)c1ccc(-c2ccc(C(=O)Nc3cccc(F)c3)s2)cc1
CHEMBL3932162,ERRgamma,7.035,,4,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4206319,ERRgamma,5.210,,1,0,,exact,CC(C)(C)c1ccc(CNNC(=O)c2ccc(O)cc2)cc1
CHEMBL4742330,ERRgamma,5.900,,1,0,,exact,CN1CCN(C[Si](C)(C)c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1.Cl.Cl
CHEMBL5630276,ERRgamma,5.710,,1,0,,exact,N#Cc1cccc(NC(=O)c2ccc(-c3ccc(O)cc3)s2)c1
CHEMBL4595377,ERRgamma,7.570,,2,0,Active,exact,Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCNCC3)cc2)cc1
CHEMBL4437929,ERRgamma,7.760,,2,0,Active,exact,Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCN(C(C)C)CC3)cc2)cc1.Cl.Cl
CHEMBL5421673,ERRgamma,5.190,,1,0,,exact,Nc1cc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)cc(Oc2cccnc2)c1
CHEMBL201013,ERRgamma,6.970,,7,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL4596569,ERRgamma,7.600,,3,0,Active,exact,CCN1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(C)cc3)cc2)CC1
CHEMBL4782001,ERRgamma,,5.000,0,1,,censored,CS(=O)(=O)Nc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(C3CCN(C4CC4)CC3)cc2)cc1.Cl
CHEMBL4803772,ERRgamma,7.380,,1,0,Active,exact,CN1CCC[C@H]1COc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL204697,ERRgamma,6.700,,1,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCCC#N)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL3957546,ERRgamma,6.925,,2,0,Active,exact,CCN(CC)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4216886,ERRgamma,5.510,,1,0,,exact,CC(=O)Nc1ccc(C(=O)N/N=C/c2ccc(C(C)(C)C)cc2)cc1
CHEMBL4597043,ERRgamma,7.400,,3,0,Active,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1
CHEMBL5625049,ERRgamma,,5.000,0,1,,censored,O=C(Nc1ccc(O)cc1)c1ccc(-c2ccc(F)cc2)s1
CHEMBL4790063,ERRgamma,5.980,,1,0,,exact,Cl.Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN2CCNCC2)cc1)c1ccccc1
CHEMBL4596092,ERRgamma,7.580,,1,0,Active,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(NS(C)(=O)=O)cc3)cc2)CC1
CHEMBL4579002,ERRgamma,7.615,,2,0,Active,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(Br)c3)cc2)CC1.Cl.Cl
CHEMBL4802716,ERRgamma,7.165,,4,0,Active,exact,CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1
CHEMBL5630698,ERRgamma,,5.000,0,1,,censored,O=C(Nc1cccc(F)c1)c1ccc(-c2cccc(CO)c2)s1
CHEMBL4597397,ERRgamma,7.220,,1,0,Active,exact,CN1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(Br)cc3)cc2)CC1
CHEMBL4580171,ERRgamma,7.675,,2,0,Active,exact,CCN1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(C)cc3)cc2)CC1.Cl.Cl
CHEMBL4746975,ERRgamma,7.085,,2,0,Active,exact,CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccc(F)cc3)c3ccc(O)cc3)cc2)CC1.Cl
CHEMBL4596457,ERRgamma,7.000,,1,0,Active,exact,OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCN(C3CCCCC3)CC2)cc1)c1ccccc1
CHEMBL4795846,ERRgamma,6.780,,1,0,Active,exact,Cl.Oc1ccc(/C(=C(\CCCF)c2ccccc2)c2ccc(C3CCN(C4CC4)CC3)cc2)cc1
CHEMBL4781743,ERRgamma,5.650,,1,0,,exact,Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCOCC2)cc1)c1ccccc1
CHEMBL4793939,ERRgamma,5.440,,1,0,,exact,Cl.Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc2c(ccn2CCN2CCCCC2)c1)c1ccccc1
CHEMBL4595376,ERRgamma,7.320,,1,0,Active,exact,OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCNCC2)cc1)c1ccccc1
CHEMBL4483511,ERRgamma,5.870,,1,0,,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(OS(=O)(=O)C4CC4)cc3)cc2)CC1.Cl.Cl
CHEMBL4217743,ERRgamma,5.370,,1,0,,exact,CCN(CC)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1Br
CHEMBL204970,ERRgamma,5.890,,1,0,,exact,CN(C)CCOc1ccc(/C(=C(/CCC#N)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL4744529,ERRgamma,7.580,,1,0,Active,exact,CN1CCC[C@@H]1CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl.Cl
CHEMBL4794943,ERRgamma,5.080,,1,0,,exact,Cl.Cl.O=[N+]([O-])c1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCC4(CCNC4)C3)cc2)cc1
CHEMBL5625156,ERRgamma,5.860,,1,0,,exact,O=C(Nc1cccc(O)c1)c1ccc(-c2ccsc2)s1
CHEMBL369935,ERRgamma,6.000,,1,0,Active,exact,CSCCC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
CHEMBL4782385,ERRgamma,5.960,,1,0,,exact,CN1C[C@@H]1CCCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4747711,ERRgamma,6.880,,1,0,Active,exact,Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(C2CNC2)cc1)c1ccccc1
CHEMBL4750724,ERRgamma,6.950,,2,0,Active,exact,CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1.Cl
CHEMBL4211016,ERRgamma,6.520,,1,0,Active,exact,CC(C)(C)c1ccc(CCNC(=O)c2ccc(O)cc2N)cc1
CHEMBL4205664,ERRgamma,6.410,,1,0,Active,exact,CCN(CC)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1
CHEMBL4469799,ERRgamma,5.440,,1,0,,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(NS(=O)(=O)C4CC4)cc3)cc2)CC1.Cl.Cl
CHEMBL4207558,ERRgamma,6.090,,1,0,Active,exact,CC(C)(C)c1ccc(/C=N/NC(=O)c2cccc(O)c2)cc1
CHEMBL4791981,ERRgamma,7.520,,1,0,Active,exact,CN1CCC[C@H]1COc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4206438,ERRgamma,5.160,,1,0,,exact,CC(C)(C)c1ccc(CCNC(=O)c2ccc(O)c(F)c2)cc1
CHEMBL4597874,ERRgamma,7.460,,4,0,Active,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1
CHEMBL3962561,ERRgamma,,5.000,0,1,,censored,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(C#N)cc2)cc1.Cl
CHEMBL3982516,ERRgamma,6.300,,1,0,Active,exact,Cc1ccc(/C(=C(\CCCO)c2cccc(F)c2)c2ccc(OCCN(C)C)cc2)cc1.Cl
CHEMBL5630603,ERRgamma,6.920,,1,0,Active,exact,O=C(Nc1ccccc1F)c1ccc(-c2ccc(O)cc2)s1
CHEMBL4438167,ERRgamma,6.470,,1,0,Active,exact,CN1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc([N+](=O)[O-])cc3)cc2)CC1.Cl.Cl
CHEMBL4781320,ERRgamma,6.770,,1,0,Active,exact,Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(C2CN(C3CC3)C2)cc1)c1ccccc1
CHEMBL4471830,ERRgamma,5.360,,1,0,,exact,CC(=O)Nc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCN(C(C)C)CC3)cc2)cc1.Cl.Cl
CHEMBL4802638,ERRgamma,7.230,,2,0,Active,exact,OCCC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN2CC2)cc1)c1ccccc1
CHEMBL4745913,ERRgamma,5.640,,1,0,,exact,Cl.OCCC/C(=C(\c1ccc(Br)cc1)c1ccc(CN2CCCCC2)cc1)c1ccccc1
CHEMBL5630286,ERRgamma,5.920,,1,0,,exact,O=C(Nc1ccsc1)c1ccc(-c2cccc(O)c2)s1
CHEMBL4211333,ERRgamma,5.210,,1,0,,exact,Cc1cc(C(=O)NCCc2ccc(C(C)(C)C)cc2)ccc1O
CHEMBL5630752,ERRgamma,6.180,,1,0,Active,exact,O=C(NC1CCCCC1)c1ccc(-c2ccc(O)cc2)s1
CHEMBL5631042,ERRgamma,,5.000,0,1,,censored,CC(C)c1ccc(NC(=O)c2ccc(-c3ccc(O)cc3)s2)cc1
CHEMBL4459548,ERRgamma,5.520,,1,0,,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(OS(=O)(=O)C(F)(F)F)cc3)cc2)CC1.Cl.Cl
CHEMBL204376,ERRgamma,6.600,,1,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCO)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL5851618,ERRgamma,7.080,,1,0,Active,exact,OCCC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN2CC3CC3[C@H]2CO)cc1)c1ccccc1
CHEMBL4743534,ERRgamma,7.085,,2,0,Active,exact,Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(C2CCNCC2)cc1)c1ccccc1
CHEMBL4513294,ERRgamma,6.980,,1,0,Active,exact,Cl.Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCNCC2)cc1)c1ccccc1
CHEMBL4792390,ERRgamma,7.470,,1,0,Active,exact,CN1CCC[C@H]1CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4758091,ERRgamma,5.840,,1,0,,exact,Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(C2CCN(C3CC3)CC2)cc1)c1ccc(F)cc1
CHEMBL4207869,ERRgamma,5.050,,1,0,,exact,CC(C)(C)c1ccc(CCNC(=O)c2ccc(O)cc2F)cc1
CHEMBL5630895,ERRgamma,6.730,,1,0,Active,exact,Nc1cccc(-c2ccc(C(=O)Nc3cccc(Cl)c3)s2)c1
CHEMBL4782733,ERRgamma,6.310,,1,0,Active,exact,Cl.OCCC/C(=C(\c1ccc(Br)cc1)c1ccc(C2CNC2)cc1)c1ccccc1
CHEMBL3940124,ERRgamma,6.280,,1,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(Cl)cc2)cc1.Cl
CHEMBL3893563,ERRgamma,6.000,,1,0,Active,exact,COc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1.Cl
CHEMBL4757449,ERRgamma,5.630,,1,0,,exact,CN1CCN(Cc2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1.Cl.Cl
CHEMBL5829633,ERRgamma,7.580,,1,0,Active,exact,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(NCS(C)(=O)=O)cc3)cc2)CC1
CHEMBL4212795,ERRgamma,5.230,,1,0,,exact,CCN(CC)c1ccc(CCNC(=O)c2ccc(O)cc2)cc1Cl
CHEMBL3891326,ERRgamma,6.320,,1,0,Active,exact,CN(C)CCOc1ccc(/C(=C(/CCCF)c2ccccc2)c2ccc(Br)cc2)cc1.Cl
CHEMBL2137046,ERRgamma,7.890,,3,0,Active,exact,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
CHEMBL4750108,ERRgamma,6.110,,1,0,Active,exact,CN1C[C@H]1CCCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl
CHEMBL4598258,ERRgamma,7.280,,2,0,Active,exact,OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCN(C3CCC3)CC2)cc1)c1ccccc1
CHEMBL418971,ERRgamma,8.260,,1,0,Active,exact,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
CHEMBL4463345,ERRgamma,6.940,,1,0,Active,exact,Cl.Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCN(C3CCCC3)CC2)cc1)c1ccccc1
CHEMBL4586542,ERRgamma,7.000,,1,0,Active,exact,Cl.Cl.OCCC/C(=C(\c1ccc(O)cc1)c1ccc(N2CCN(C3CCCCC3)CC2)cc1)c1ccccc1
