chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL358468,ERbeta,,5.000,0,1,,censored,CN1CCN(c2nc(NCCCc3ccccc3)nc(NC3CCc4ccc(O)cc4C3)n2)CC1
CHEMBL114,ERbeta,,4.523,0,1,Inactive,censored,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
CHEMBL3645266,ERbeta,7.140,,2,0,Active,exact,O=C(c1ccc2ccccc2c1)N(c1ccc(O)cc1)c1ccc(O)cc1
CHEMBL1391159,ERbeta,,4.301,0,1,Inactive,censored,N#Cc1ccsc1NC(=O)CSc1ncnc2ccccc12
CHEMBL372783,ERbeta,8.340,,1,0,Active,exact,Oc1ccc(-c2cc(Cl)c3cc(O)ccc3n2)cc1
CHEMBL195878,ERbeta,8.700,,1,0,Active,exact,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(F)c1
CHEMBL4453541,ERbeta,7.660,,2,1,Active,exact,CC1CCC(c2ccc(O)cc2)CC1
CHEMBL1538135,ERbeta,,4.301,0,1,Inactive,censored,Cn1c(=O)c2c(ncn2CCCNC2=CC(C)(C)CC(=O)C2)n(C)c1=O
CHEMBL4216877,ERbeta,6.445,,2,0,Active,exact,O=S(=O)(Oc1ccc(F)cc1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1
CHEMBL1419,ERbeta,,4.523,0,1,Inactive,censored,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
CHEMBL5426947,ERbeta,4.710,,1,0,Inactive,exact,Cc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(-n4cncn4)cc2)=C3c2ccc(O)cc2)cc1
CHEMBL215593,ERbeta,7.850,,1,0,Active,exact,CCC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2
CHEMBL5169686,ERbeta,,5.000,0,1,,censored,CN(C)CCOc1ccc(C2C3=C(c4ccccc4C3=O)N(C)C(=O)N2CC(F)(F)F)cc1
CHEMBL396118,ERbeta,5.650,,1,0,,exact,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)n(C(=O)c2ccc(OCCN3CCCCC3)cc2)c2ccccc12
CHEMBL371624,ERbeta,8.640,,1,0,Active,exact,N#Cc1cc(-c2ccc(O)cc2)cc2ccc(O)cc12
CHEMBL506991,ERbeta,7.800,,1,0,Active,exact,Oc1ccc(-c2nc3cc(O)cc(/C=C/Br)c3o2)c(F)c1
CHEMBL3234633,ERbeta,7.550,,1,0,Active,exact,Oc1ccc(/C(=N\c2cccc(C(F)(F)F)c2)c2ccc(O)cc2O)cc1
CHEMBL564,ERbeta,,4.523,0,1,Inactive,censored,CN(C)CCCN1c2ccccc2Sc2ccccc21
CHEMBL191066,ERbeta,6.860,,1,0,Active,exact,Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1
CHEMBL3815076,ERbeta,6.720,,1,0,Active,exact,CCc1ccc2c(c1)C(c1ccc(OCCN3CCOCC3)cc1)Cc1cc(O)cc(C)c1-2
CHEMBL5411799,ERbeta,5.220,,1,0,,exact,O=S(=O)(Oc1cccc2ccccc12)C1CC2OC1C(c1ccc(-n3ccnc3)cc1)=C2c1ccc(O)cc1
CHEMBL494912,ERbeta,,3.000,0,1,Inactive,censored,c1ccc(COc2cc(OCc3ccccc3)nc(OCc3ccccc3)n2)cc1
CHEMBL2086965,ERbeta,,4.000,0,1,Inactive,censored,O=C(N/N=C/c1cc(Br)ccc1O)c1cc2ccccc2cc1O
CHEMBL1302802,ERbeta,6.185,,2,0,Active,exact,C=CCn1c(SCC(=O)NC(=O)NCc2ccco2)nc2sc(CC)cc2c1=O
CHEMBL184598,ERbeta,7.070,,1,0,Active,exact,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4CCC4C3)cc2)cc1
CHEMBL1194666,ERbeta,,4.523,0,1,Inactive,censored,CCN(CC)C(C)C(=O)c1ccccc1
CHEMBL3208784,ERbeta,4.880,,2,0,Inactive,exact,CC(=N)/C(C#N)=C(/O)CSc1nnc(-c2ccc(OC(F)F)cc2)o1
CHEMBL2332602,ERbeta,5.180,,1,0,,exact,Cc1cc(O)ccc1-c1ccc(-c2ccc(O)cc2C)s1
CHEMBL205934,ERbeta,8.170,,1,0,Active,exact,Cc1c(O)cc(C)c2c1oc(=O)c1c(C)c(O)ccc12
CHEMBL1334570,ERbeta,4.460,,1,0,Inactive,exact,COC(=O)c1sc2nc(-c3ccco3)ccc2c1N
CHEMBL74758,ERbeta,6.700,,1,0,Active,exact,CCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1
CHEMBL1071,ERbeta,,4.523,0,1,Inactive,censored,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL188792,ERbeta,7.230,,2,0,Active,exact,COc1cc(O)cc2nc(-c3ccc(O)cc3)oc12
CHEMBL4744050,ERbeta,8.890,,1,0,Active,exact,Oc1ccc(C[C@@H]2CCc3cc(O)ccc32)cc1
CHEMBL213070,ERbeta,7.370,,1,0,Active,exact,CCCC12CCC(=O)C(Br)=C1c1ccc3[nH]nnc3c1C2
CHEMBL220072,ERbeta,6.810,,1,0,Active,exact,CN(C)CCOc1ccc(-c2nn3c(C(F)(F)F)cc(C(F)(F)F)nc3c2-c2ccc(O)cc2)cc1
CHEMBL4794674,ERbeta,7.135,,2,0,Active,exact,CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)NCCNC(=O)/C=C/c2ccc(/C(=C(\CC)c3ccccc3)c3ccc(O)cc3)cc2)cc1)c1ccccc1
CHEMBL203340,ERbeta,7.720,,1,0,Active,exact,Cc1c(O)c(Cl)cc2c1c(=O)oc1c(Cl)c(O)ccc12
CHEMBL251515,ERbeta,5.600,,1,0,,exact,C=C[C@]12CC[C@@](C)(O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12
CHEMBL1510721,ERbeta,,4.301,0,1,Inactive,censored,CC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2
CHEMBL1581750,ERbeta,5.810,,1,0,,exact,Cc1cc(C)cc(OCC(=O)Nc2ccc(N3CCCC3)cc2)c1
CHEMBL1338000,ERbeta,,4.301,0,1,Inactive,censored,Cc1nn(Cc2ccccc2Cl)c(C)c1C(=O)NCc1ccco1
CHEMBL522663,ERbeta,,3.000,0,1,Inactive,censored,CC(C)CN(C)c1cc(CCc2ccccc2)nc(N(C)CC(C)C)n1
CHEMBL192876,ERbeta,8.050,,1,0,Active,exact,Oc1ccc(-c2cc(Cl)c3c(Cl)c(O)ccc3c2)cc1
CHEMBL203442,ERbeta,5.140,,1,0,,exact,CCCc1c(O)cc2ncn(-c3ccc(O)cc3)c(=O)c2c1O
CHEMBL568,ERbeta,,4.523,0,1,Inactive,censored,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
CHEMBL379188,ERbeta,8.100,,1,0,Active,exact,C[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2
CHEMBL3589367,ERbeta,6.990,,3,0,Active,exact,O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4cccc5ccccc45)C2O3)cc1
CHEMBL4278269,ERbeta,8.300,,1,0,Active,exact,Cc1cc(-c2c[se]cc2-c2ccc(OCCN3CCCC3)c(C)c2)ccc1O
CHEMBL25580,ERbeta,6.480,,1,0,Active,exact,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12
CHEMBL3422036,ERbeta,7.280,,1,0,Active,exact,NCCOc1ccc(/C(=C(\CCCl)c2ccccc2)c2ccc(O)cc2)cc1
CHEMBL2407651,ERbeta,4.820,,1,1,Inactive,exact,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccc(F)cc2)(C(=O)NCc2ccc(Cl)c(Cl)c2)C1=O
CHEMBL101807,ERbeta,7.030,,4,0,Active,exact,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1
CHEMBL493703,ERbeta,,3.000,0,1,Inactive,censored,CC(C)CNc1cc(NCc2ccccc2)nc(NCC(C)C)n1
CHEMBL1462307,ERbeta,,4.301,0,1,Inactive,censored,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2cccc(Cl)c2)CC1
CHEMBL4645341,ERbeta,5.610,,1,0,,exact,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCOCC2)cc1
CHEMBL523514,ERbeta,,3.000,0,1,Inactive,censored,CC(C)CNc1nc(/C=C/c2ccccc2)cc(/C=C/c2ccccc2)n1
CHEMBL246341,ERbeta,6.800,,1,0,Active,exact,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H]5CC=C[C@]43CC[C@@H]5O)[C@@H]1CC[C@@H]2O
CHEMBL1405,ERbeta,8.100,,7,1,Active,exact,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
CHEMBL188951,ERbeta,5.980,,2,0,,exact,N#CCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12
CHEMBL509051,ERbeta,8.150,,1,0,Active,exact,O/N=C/c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O
CHEMBL378798,ERbeta,7.060,,1,0,Active,exact,Cc1c(O)ccc2c1COc1c-2ccc(O)c1C
CHEMBL1088483,ERbeta,8.150,,1,0,Active,exact,COc1ccc2c(c1)O[C@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21
CHEMBL4644899,ERbeta,6.430,,1,0,Active,exact,CC(C)(C)OC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1
CHEMBL1404075,ERbeta,4.990,,1,1,Inactive,exact,CCCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(C)C(=O)C(C#N)=C3C)o2)ccc1Cl
CHEMBL68549,ERbeta,,4.000,0,1,Inactive,censored,[O-][S+]1c2cc(O)ccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1
CHEMBL426854,ERbeta,5.630,,1,0,,exact,CCc1c(O)ccc2c1oc(=O)c1cc(Br)ccc12
CHEMBL1095282,ERbeta,,4.523,0,1,Inactive,censored,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O
CHEMBL4071813,ERbeta,5.600,,1,0,,exact,Cl.Clc1c2ccccc2cc2c(-c3ccccc3)c3ccccc3nc12
CHEMBL378883,ERbeta,7.960,,1,0,Active,exact,CCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O
CHEMBL130030,ERbeta,8.280,,1,0,Active,exact,CNc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1
CHEMBL4225599,ERbeta,5.990,,1,0,,exact,COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(OCC(=O)O)cc1
CHEMBL3134124,ERbeta,7.700,,1,0,Active,exact,C[C@]12CC[C@H](c3ccc(O)cc3)C[C@H]1C[C@H](O)[C@H]2O
CHEMBL492297,ERbeta,,3.000,0,1,Inactive,censored,CC(C)CCc1cc(N(CC(C)C)C(=O)OC(C)(C)C)nc(NCc2cccc3ccccc23)n1
CHEMBL183489,ERbeta,7.680,,1,0,Active,exact,C[C@@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1
CHEMBL926,ERbeta,,4.523,0,1,Inactive,censored,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
CHEMBL5568432,ERbeta,,4.102,0,1,Inactive,censored,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCCCCCOc2ccc(N(CC(F)(F)F)S(=O)(=O)C3CC4OC3C(c3ccc(-n5ccnc5)cc3)=C4c3ccc(O)cc3)cc2)C(C)(C)C)cc1
CHEMBL200799,ERbeta,7.820,,1,0,Active,exact,Oc1ccc(-c2[nH]c(C(F)(F)F)nc2-c2ccccc2)cc1
CHEMBL2403360,ERbeta,5.890,,1,0,,exact,CCc1cc(C(CC)(CC)c2ccc(O)c(CC)c2)ccc1O
CHEMBL3648370,ERbeta,6.600,,2,0,Active,exact,O=C1Oc2cc(O)cc(Cc3ccccc3)c2CC1c1ccc(Cl)cc1
CHEMBL189039,ERbeta,7.400,,2,0,Active,exact,Oc1ccc(-c2nc3cc(O)cc(CBr)c3o2)cc1
CHEMBL34259,ERbeta,,4.523,0,1,Inactive,censored,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL4286596,ERbeta,7.370,,1,0,Active,exact,Cc1cc(O)ccc1-c1c[se]cc1-c1ccc(OCCN2CCCC2)cc1C
CHEMBL77794,ERbeta,5.540,,1,0,,exact,Oc1ccc(C2=Nc3ccc(O)cc3OC2)cc1
CHEMBL73989,ERbeta,5.850,,1,0,,exact,Oc1ccc2c(c1)CC1Oc3cc(O)ccc3N=C21
CHEMBL202415,ERbeta,7.020,,1,0,Active,exact,C/C=C/[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O
CHEMBL4795911,ERbeta,8.500,,1,0,Active,exact,N#C[C@]1(Cc2ccc(O)cc2)CCc2cc(O)ccc21
CHEMBL205717,ERbeta,4.130,,1,0,Inactive,exact,N#Cc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12
CHEMBL1627353,ERbeta,7.200,,1,0,Active,exact,C[C@]12CC[C@@H]3c4ccc(O)cc4C(O)[C@@H](Sc4ccc(Br)cc4)[C@H]3[C@@H]1CC[C@@H]2O
