chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL3315057,GR,7.790,,5,0,Active,exact,CNC(=O)NC(=O)C(C)(C)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21
CHEMBL255369,GR,9.300,,1,0,Active,exact,COC[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C)cc1)C2
CHEMBL572355,GR,7.320,,3,1,Active,exact,C[C@]12Cn3cnc(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)C1CCOCC1
CHEMBL1644755,GR,8.340,,2,0,Active,exact,Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)C(=O)C2(C)C
CHEMBL1917247,GR,7.770,,3,0,Active,exact,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc1nc2ccccc2s1
CHEMBL1605650,GR,,4.523,0,1,Inactive,censored,C[C@@H]1CCC[C@H](C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
CHEMBL4073649,GR,8.535,,2,0,Active,exact,O=C(c1nccs1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(F)c(F)c1)C2
CHEMBL1084632,GR,7.800,,1,1,Active,exact,CCCS(=O)(=O)Nc1ccc(-c2ccc3c(cnn3-c3ccc(F)cc3)c2)c(C(F)(F)F)c1
CHEMBL97206,GR,8.400,,2,0,Active,exact,COc1cccc2c1-c1ccc3c(c1C(c1cccc(OCSC)c1)O2)C(C)=CC(C)(C)N3
CHEMBL1917416,GR,8.280,,2,0,Active,exact,Cc1ccnc(SCC(=O)[C@@]2(OC(=O)c3ccco3)CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@@]32C)n1
CHEMBL3264932,GR,4.490,,1,0,Inactive,exact,CCn1c(CCCc2ccc(-c3ccc(NS(=O)(=O)c4ccccc4)cn3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O
CHEMBL1911275,GR,6.530,,6,0,Active,exact,CCN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@H]3C(C)(C)C(=O)Nc2nncs2)cc1Cl
CHEMBL271853,GR,7.580,,1,0,Active,exact,O=S(=O)(N1CCOCC1)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)CC2(Cc2ccc(F)cc2)C1
CHEMBL1682425,GR,8.220,,1,0,Active,exact,Cc1cc(-c2cccc3cc[nH]c23)c(/C=N/OC(C)(C)C)c2c1NC(C)(C)[C@H](O)[C@H]2C
CHEMBL6024040,GR,5.560,,1,0,,exact,COc1ccc(NC(=O)c2cnc3c(c(C)nn3Cc3c[nH]nn3)c2Cl)cc1
CHEMBL388017,GR,6.540,,1,0,Active,exact,COc1ccccc1-c1ccc2c(c1)C(C(C)OCCc1ccccc1Cl)=CC(C)(C)N2
CHEMBL79378,GR,8.200,,1,0,Active,exact,COc1ccc(C[C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc1
CHEMBL363179,GR,7.750,,3,0,Active,exact,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1csc2ccccc12
CHEMBL1644763,GR,6.360,,1,0,Active,exact,Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)CC2=O
CHEMBL267431,GR,7.070,,1,0,Active,exact,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C
CHEMBL4213191,GR,8.150,,2,0,Active,exact,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1
CHEMBL63932,GR,7.210,,1,0,Active,exact,CCOC(=O)c1ccc(C2Oc3cccc(OC)c3-c3ccc(NS(C)(=O)=O)cc32)cc1
CHEMBL3261405,GR,7.010,,1,0,Active,exact,Cc1nn(-c2ccccc2)c(C)c1S(=O)(=O)N[C@@H](C)COc1cccc2cnccc12
CHEMBL1917244,GR,7.460,,3,0,Active,exact,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ccccc2s1
CHEMBL5266741,GR,,4.602,0,2,Inactive,censored,O=C(c1ccco1)N1CCCc2cc(N(S(=O)(=O)c3ccc(Br)cc3)S(=O)(=O)c3ccc(Br)cc3)ccc21
CHEMBL2113712,GR,5.070,,1,0,,exact,C=C1C=C(C)CC(C)(C)C1(O)Cc1ccc([N+](=O)[O-])cc1
CHEMBL1643895,GR,,4.523,0,1,Inactive,censored,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21
CHEMBL1289110,GR,,4.523,0,1,Inactive,censored,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O
CHEMBL43064,GR,,5.000,0,1,,censored,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
CHEMBL1200732,GR,7.800,,1,0,Active,exact,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CHEMBL394343,GR,6.400,,1,0,Active,exact,COc1ccccc1-c1ccc2c(c1)C(C(C)OCC=C(C)C)=CC(C)(C)N2
CHEMBL1489,GR,,5.000,0,1,,censored,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
CHEMBL3605933,GR,7.570,,2,0,Active,exact,COc1ccccc1-c1c[nH]c2c(NS(C)(=O)=O)cccc12
CHEMBL193703,GR,7.580,,1,0,Active,exact,COC[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1COC
CHEMBL1644761,GR,7.800,,3,0,Active,exact,Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)C(O)C2(C)C
CHEMBL1773,GR,,4.523,0,1,Inactive,censored,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
CHEMBL5081464,GR,,6.000,0,1,,censored,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)CN(CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)CN(CC(=O)N[C@H](C(=O)N[C@@H](CCCCN)CN(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)CN(CC(=O)N[C@H](C(N)=O)[C@@H](C)O)S(=O)(=O)CCN)S(=O)(=O)c1ccc(Cl)cc1)C(C)C)S(=O)(=O)c1ccc(Cl)cc1)S(C)(=O)=O)[C@@H](C)O)[C@@H](C)O
CHEMBL302134,GR,6.660,,1,0,Active,exact,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1cccc(OC(F)(F)F)c1
CHEMBL833,GR,,4.523,0,1,Inactive,censored,Clc1ccccc1CN1CCc2sccc2C1
CHEMBL550082,GR,7.820,,1,0,Active,exact,CC(C)CNC(=S)NCCSCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL284906,GR,,4.523,0,1,Inactive,censored,O=C(NCCO[N+](=O)[O-])c1cccnc1
CHEMBL2426115,GR,7.675,,4,0,Active,exact,CCS(=O)(=O)NCC(C)(C)[C@@H](c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1
CHEMBL201304,GR,5.700,,1,0,,exact,COc1ccc(F)cc1C(C)(C)C[C@](O)(Cc1ccc(Cl)cc1)C(F)(F)F
CHEMBL274208,GR,7.920,,1,0,Active,exact,C=CCC1Oc2ccc(OC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
CHEMBL3094485,GR,8.080,,2,0,Active,exact,CCC(Cc1ccc(O)c2ccccc12)NS(=O)(=O)c1c(C)cc(C)cc1C
CHEMBL4202965,GR,7.175,,2,0,Active,exact,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cnc(=O)n(C)c2)c1)c1ccccc1
CHEMBL208996,GR,8.090,,1,0,Active,exact,Cc1noc(=O)c2ccc(NC(=O)[C@](O)(C[C@@]3(C4CCCC4)CCCc4ccccc43)C(F)(F)F)cc12
CHEMBL1649686,GR,5.140,,1,0,,exact,C[C@H](CCC(=O)NC1CC1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL4858811,GR,,4.523,0,1,Inactive,censored,N#Cc1ncc(N2C(=O)C3(CCC3)N(c3ccc(OC4CCNCC4)nc3)C2=S)cc1C(F)(F)F
CHEMBL230675,GR,8.095,,2,0,Active,exact,O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2ccccc2)c(=O)[nH]1
CHEMBL118,GR,,4.523,0,1,Inactive,censored,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
