chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL477940,PPARgamma,4.280,,1,0,Inactive,exact,CN(CC#Cc1ccc(CC(C(=O)O)n2cccc2)cc1)c1ccccn1
CHEMBL3695764,PPARgamma,6.800,,1,0,Active,exact,Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3cccc(OC(F)(F)F)c3)cc12
CHEMBL3695866,PPARgamma,8.000,,1,0,Active,exact,Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)N[C@@H](C)c3cccc4c3OCO4)cc12
CHEMBL521462,PPARgamma,8.400,,1,0,Active,exact,CCCOC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O
CHEMBL472451,PPARgamma,6.710,,2,0,Active,exact,O=C(O)[C@H](Cc1ccc(-c2cccs2)cc1)Oc1ccc(Cl)cc1
CHEMBL2022126,PPARgamma,7.100,,1,0,Active,exact,CCCCCS(=O)(=O)NC(=O)/C=C/c1ccc(OCCO)cc1Oc1ncc(C(F)(F)F)cc1Cl
CHEMBL3695760,PPARgamma,7.550,,3,0,Active,exact,Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)N[C@@H](C)c3ccc(Br)cc3)cc12
CHEMBL523982,PPARgamma,4.480,,1,0,Inactive,exact,O=S(=O)(NCCc1ccc(S(=O)(=O)NC(=S)Nc2ccc(Cl)cc2)cc1)c1ccccc1
CHEMBL148459,PPARgamma,8.720,,1,0,Active,exact,Cc1ccsc1-c1nc(CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c3ccccc3)C(=O)O)cc2)c(C)o1
CHEMBL191087,PPARgamma,7.380,,1,0,Active,exact,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OCC#N)c3)c3cc(OC(F)(F)F)ccc32)cc1
CHEMBL1081391,PPARgamma,,5.000,0,1,,censored,Cc1cc(OCc2nc(-c3cccnc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O
CHEMBL4163066,PPARgamma,7.680,,1,0,Active,exact,Cn1c(COc2cccc(C(=O)O)c2)nc2ccc(Oc3ccc4c(c3)OCC4)cc21
CHEMBL5408470,PPARgamma,4.860,,1,0,Inactive,exact,O[C@@H]1[C@H](O)C=C[C@H]1Cn1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21
CHEMBL173409,PPARgamma,7.280,,1,0,Active,exact,CCCc1c(OCCCCOc2cccc(OCC(=O)O)c2)ccc2c(-c3ccccc3)noc12
CHEMBL3699361,PPARgamma,6.510,,1,0,Active,exact,Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)N[C@H](C)c3c(F)cncc3F)cc12
CHEMBL3393183,PPARgamma,5.360,,1,0,,exact,O=C(O)Cc1cccc(NC(=O)c2ccccc2NC(=O)c2ccc(SC(F)(F)F)cc2)c1
CHEMBL3600934,PPARgamma,,4.000,0,1,Inactive,censored,O=C(NCc1ccccc1)c1ccc(NC(=O)c2cccc(CN3C(=O)OC[C@H]3Cc3ccccc3)c2)cc1
CHEMBL5173082,PPARgamma,5.090,,1,0,,exact,CCCCCCCCCCCCCCCc1ccc(C(=O)O)c(OC)c1
CHEMBL3931161,PPARgamma,5.400,,1,0,,exact,CN(C)C(=O)c1ccc2c(c1)c(Oc1c(Cl)cccc1C(F)(F)F)nn2-c1ccc(C(=O)O)cc1
CHEMBL50572,PPARgamma,6.320,,1,0,Active,exact,CC(C)Cc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1
CHEMBL113324,PPARgamma,5.990,,2,0,,exact,CCCc1cc(Oc2ccc(S(C)(=O)=O)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2
CHEMBL4163093,PPARgamma,7.600,,1,0,Active,exact,Cn1c(COc2cccc(C(=O)O)c2)nc2ccc(Oc3ccc4c(c3)CCC4)nc21
CHEMBL6170709,PPARgamma,5.780,,1,0,,exact,C[C@@](Oc1ccc(-c2cccc3ccccc23)cc1)(C(=O)O)c1ccccc1
CHEMBL5075652,PPARgamma,6.080,,3,0,Active,exact,CS(=O)(=O)Cc1ccc(CNC(=O)c2ccc3c(ccn3S(=O)(=O)c3cccc(F)c3)c2)c(C(F)(F)F)c1
CHEMBL3695847,PPARgamma,9.100,,1,0,Active,exact,CCC[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccccc1
CHEMBL1089110,PPARgamma,5.120,,1,0,,exact,CC(C)c1ccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc1
CHEMBL4176105,PPARgamma,7.100,,1,0,Active,exact,Cc1cccc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)c1
CHEMBL6165188,PPARgamma,6.050,,1,0,Active,exact,Cc1cc(CN2CCN(c3cccc(C(F)(F)F)c3)C2=O)cc(C)c1OC(C)(C)C(=O)O
