chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL3259996,PR,5.420,,1,0,,exact,CCCn1c(=O)c2ccccc2c2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21
CHEMBL28318,PR,,4.523,0,1,Inactive,censored,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
CHEMBL233660,PR,6.770,,1,0,Active,exact,CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1c(Cl)cccc1Cl
CHEMBL1484,PR,5.820,,1,0,,exact,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
CHEMBL197161,PR,7.520,,1,0,Active,exact,CC(C)(CC(O)(Cc1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1
CHEMBL289469,PR,,4.523,0,1,Inactive,censored,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
CHEMBL252557,PR,,4.523,0,1,Inactive,censored,O=C(O)CO
CHEMBL293388,PR,6.350,,1,0,Active,exact,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccs1)O2
CHEMBL591327,PR,7.700,,1,0,Active,exact,COC(=O)N1CC[C@H](N(Cc2cc(F)ccc2C)c2ccc(C#N)c(Cl)c2)C1
CHEMBL62981,PR,8.100,,2,0,Active,exact,CC/C(C)=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3
CHEMBL464345,PR,,4.523,0,1,Inactive,censored,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CHEMBL110,PR,,4.523,0,1,Inactive,censored,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
CHEMBL3093457,PR,6.160,,1,0,Active,exact,Cc1cc(C)c(S(=O)(=O)NC(Cn2ccc3c(C#N)cccc32)C(F)(F)F)c(C)c1
CHEMBL6060931,PR,6.600,,1,0,Active,exact,CCCc1cc2c(C(F)(F)F)c(C#N)ccc2n1CC(C)(C)O
CHEMBL552492,PR,6.900,,1,0,Active,exact,CCC(C)N1C[C@@H](N(Cc2ccccc2C)c2ccc(C#N)c(Cl)c2)CC1=O
CHEMBL3924332,PR,6.320,,1,0,Active,exact,COc1cc2oc(=O)cc(C)c2cc1-c1ccc(C#N)n1Cc1ccc(C#N)cc1
CHEMBL267044,PR,,4.523,0,1,Inactive,censored,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
CHEMBL416831,PR,,5.301,0,1,,censored,COc1cccc2c1-c1ccc3c(c1C(C/C=C/CO)O2)C(C)=CC(C)(C)N3
CHEMBL35431,PR,,6.301,0,1,,censored,C[C@@H]1c2c(ccc3c2[C@H](c2ccc(Cl)cc2)Oc2ccccc2-3)NC(C)(C)[C@H]1O
CHEMBL980,PR,,4.523,0,2,Inactive,censored,COc1ccccc1OCC(O)CO
CHEMBL51933,PR,6.460,,3,0,Active,exact,C=C1C=C(C)C[C@@H](C)[C@@H]1Cc1cc(OC)c(Br)cc1OC(C)=O
CHEMBL771,PR,,4.523,0,1,Inactive,censored,N[C@@H]1CONC1=O
CHEMBL132192,PR,6.360,,2,0,Active,exact,CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3Br)cc21
CHEMBL379847,PR,7.300,,1,0,Active,exact,O=S(=O)(c1ccc(Cl)cc1Cl)N1CCCCC(c2ccc(Cl)c(Cl)c2)=N1
CHEMBL130,PR,,4.523,0,1,Inactive,censored,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
CHEMBL908,PR,,4.523,0,1,Inactive,censored,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
CHEMBL3692346,PR,7.260,,1,0,Active,exact,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@]21C=CCO1
