chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL5801010,RXRalpha,6.480,,1,0,Active,exact,FC(F)Oc1cc(-n2cc(COc3cccnc3)nn2)ccc1Cl
CHEMBL583996,RXRalpha,7.920,,1,0,Active,exact,Cc1cc2c(cc1Cc1ccc(C(=O)O)c(F)c1)C(C)(C)CCC2(C)C
CHEMBL5958382,RXRalpha,8.400,,1,0,Active,exact,Cc1nc(OCc2cn(-c3ccc(F)c(OC(F)F)c3)nn2)ncc1Cl
CHEMBL1023,RXRalpha,7.480,,37,0,Active,exact,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL5787481,RXRalpha,,4.000,0,1,Inactive,censored,CCc1c(C)nc(-c2ccccc2)nc1Oc1ccc(C(=O)O)cc1
CHEMBL5813181,RXRalpha,7.000,,1,0,Active,exact,CNc1nc(OCc2cn(-c3ccc(F)c(OC(F)F)c3)nn2)ncc1C
CHEMBL5830593,RXRalpha,7.260,,1,0,Active,exact,CNc1ccnc(OCc2cn(-c3ccc(Cl)c(C(C)(F)F)c3)nn2)n1
CHEMBL337393,RXRalpha,8.590,,1,0,Active,exact,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL6010282,RXRalpha,,4.301,0,1,Inactive,censored,C=CCc1c(Nc2ccc(C(=O)OCC)cc2)nc(-c2ccccc2)nc1C(F)(F)F
CHEMBL6013169,RXRalpha,7.470,,1,0,Active,exact,CC(F)(F)c1cccc(-n2cc(COc3ncc(CO)cn3)nn2)c1
CHEMBL5569746,RXRalpha,5.960,,1,0,,exact,CN(c1cccc(C(F)(F)F)c1)c1cc(Cl)nc(OCCC(=O)O)n1
CHEMBL247848,RXRalpha,,5.000,0,1,,censored,CCN1C(=O)CC(C)(C)c2cc(C)c(-c3cc(/C(C)=C/C(=O)O)ccc3OC(F)(F)F)cc21
CHEMBL5978070,RXRalpha,7.960,,1,0,Active,exact,CC(F)(F)c1cccc(-n2cc(COc3nccc(N4CCCC4)n3)nn2)c1
