chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL122524,THRbeta,4.710,,1,0,Inactive,exact,Cc1cccc(-c2nn3c(c2-c2ccc(S(C)(=O)=O)cc2)CCC3)n1
CHEMBL4778975,THRbeta,7.610,,2,0,Active,exact,COc1cc(C(=O)N2CC[C@@H](O)[C@H](C)C2)cc2nc(NCc3cccc(Cl)c3)oc12
CHEMBL561446,THRbeta,5.960,,1,0,,exact,CCCCCCS(=O)(=O)c1cc(Cl)c(C(=O)CCN(C)C)c(Cl)c1
CHEMBL254607,THRbeta,8.460,,1,0,Active,exact,O=C(O)Cc1cc(Cl)c(Oc2ccc(O)c(C(=O)NCc3ccccc3)c2)c(Cl)c1
CHEMBL3397337,THRbeta,10.150,,1,0,Active,exact,CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)cc(Cl)c32)ccc1O
CHEMBL5283585,THRbeta,6.190,,1,0,Active,exact,N#Cc1nn(-c2cc(Cl)c(-n3ccc4cc(O)ccc43)c(Cl)c2)c(=O)[nH]c1=O
CHEMBL408376,THRbeta,,5.648,0,1,,censored,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCC(=O)N(C)C4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C
CHEMBL2348871,THRbeta,4.410,,1,0,Inactive,exact,CN(Cc1ccccc1)C(=O)CNC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1
CHEMBL6018562,THRbeta,,5.301,0,1,,censored,CC(C)c1cc(S(=O)(=O)c2c(Cl)cc(NCc3noc(=O)[nH]3)cc2Cl)nn(C)c1=O
CHEMBL485927,THRbeta,7.050,,1,0,Active,exact,Cc1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O
CHEMBL561648,THRbeta,5.090,,1,0,,exact,CCCCCCNC(=O)c1ccc(C(=O)CCN(C)C)cc1
CHEMBL427568,THRbeta,5.820,,1,1,,exact,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCOC4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C
CHEMBL124819,THRbeta,8.920,,2,0,Active,exact,O=C(c1cc(Oc2c(Cl)cc(-n3ncc(=O)[nH]c3=O)cc2Cl)ccc1O)N1CCOCC1
CHEMBL192142,THRbeta,6.110,,3,0,Active,exact,O=C(O)Cc1cc(Br)c(OCC2CCCCC2)c(Br)c1
CHEMBL5597130,THRbeta,,4.301,0,1,Inactive,censored,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C(=O)O)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O
CHEMBL550497,THRbeta,6.160,,1,0,Active,exact,CCCCCCOc1ccc(C(=O)CCN2CCOCC2)c(Cl)c1Cl
CHEMBL3126373,THRbeta,6.820,,1,0,Active,exact,Cc1c(CC(=O)O)c2ccccc2n1Cc1ccc(O)c(C(C)C)c1
CHEMBL203828,THRbeta,8.070,,1,0,Active,exact,CC(C)c1cc(Oc2c(Br)cc3c(c2Br)CC(C(=O)O)C3)ccc1O
CHEMBL4786634,THRbeta,8.400,,1,0,Active,exact,COc1cc(C(=O)N2C[C@H](C)OC[C@@H]2CCO)cc2nc(N[C@H](C)c3cccc(Cl)c3)oc12
CHEMBL396437,THRbeta,,4.000,0,1,Inactive,censored,CCCCCCCc1ccc(C(=O)C=C(C)C)cc1
CHEMBL2348887,THRbeta,4.300,,1,0,Inactive,exact,CCCN(C(=O)CCNC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1)c1ccccc1
CHEMBL560911,THRbeta,5.570,,1,0,,exact,CCCCCCOc1ccc(C(=O)CCN(CCCC)CCCC)cc1
CHEMBL5981888,THRbeta,6.780,,1,0,Active,exact,CC(C)c1cc(Oc2c(Cl)cc(NC(=O)c3noc(=O)[nH]3)c(F)c2Cl)n[nH]c1=O
CHEMBL561650,THRbeta,5.300,,1,0,,exact,CCCCCCOc1ccc(C(=O)CCN2CC2C)c(Cl)c1Cl
CHEMBL192490,THRbeta,5.720,,3,0,,exact,CCCCOc1c(Br)cc(CC(=O)O)cc1Br
CHEMBL237958,THRbeta,7.875,,2,0,Active,exact,COc1ccc(CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O)cc1
CHEMBL608990,THRbeta,9.300,,1,0,Active,exact,Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c2c1CCC2
CHEMBL2348906,THRbeta,,4.222,0,1,Inactive,censored,CS(=O)(=O)c1ccc(C(=O)NCCCC(=O)N2CCc3ccccc3C2)cc1[N+](=O)[O-]
CHEMBL5748799,THRbeta,7.240,,1,0,Active,exact,CC(C)c1cc(Oc2c(Cl)cc(OCc3noc(=O)[nH]3)cc2Cl)nn(C)c1=O
CHEMBL572348,THRbeta,5.370,,1,0,,exact,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1Cl
CHEMBL5568622,THRbeta,,5.000,0,1,,censored,C[C@](O)(CN1CC2CC(C1)N2c1ccc(C#N)cc1)C(=O)Nc1cnc(C#N)c(C(F)(F)F)c1
CHEMBL4761070,THRbeta,6.330,,1,0,Active,exact,COc1cc(C(=O)NCc2cccc(Cl)c2)cc2nn(CCn3cccn3)cc12
CHEMBL250101,THRbeta,6.800,,1,0,Active,exact,O=C(O)CCc1cc(Br)c(OCc2cccc(C(F)(F)F)c2)c(Br)c1
CHEMBL2349032,THRbeta,,4.222,0,1,Inactive,censored,Cc1ccc(N2CCN(C(=O)CN(C)C(=O)c3ccc(S(C)(=O)=O)c([N+](=O)[O-])c3)CC2)cc1
CHEMBL413699,THRbeta,9.930,,2,0,Active,exact,O=C(NC1CCCCC1)c1cc(Oc2c(Cl)cc(-n3ncc(=O)[nH]c3=O)cc2Cl)ccc1O
CHEMBL428375,THRbeta,4.900,,1,0,Inactive,exact,CCCCCCc1ccc(C(=O)CCN(C2CCCCC2)C2CCCCC2)cc1
CHEMBL340158,THRbeta,9.115,,2,0,Active,exact,O=c1cnn(-c2cc(Cl)c(Oc3ccc(O)c(S(=O)(=O)NC4CCCCC4)c3)c(Cl)c2)c(=O)[nH]1
CHEMBL46882,THRbeta,9.330,,1,0,Active,exact,Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc1ccc(O)c(C(C)C)c1
CHEMBL5281233,THRbeta,,4.000,0,1,Inactive,censored,N#Cc1nn(-c2cc(Cl)c(-n3ccc4ccc(O)cc43)c(Cl)c2)c(=O)[nH]c1=O
CHEMBL551450,THRbeta,5.250,,1,0,,exact,CCCCCCOc1ccc(C(=O)CCN2CCN(C)CC2)cc1
CHEMBL2349038,THRbeta,,4.222,0,1,Inactive,censored,CN(CC(=O)N1CCc2ccccc21)C(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1
CHEMBL2035876,THRbeta,8.810,,1,0,Active,exact,CC(C)c1cc(Oc2c(Cl)cc(NC(=O)CC(=O)O)c(Cl)c2Cl)ccc1O
CHEMBL594025,THRbeta,9.400,,1,0,Active,exact,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(Cc2ccc(F)cc2)c1
CHEMBL2096708,THRbeta,,5.648,0,1,,censored,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCOCCO[C@H]4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C
CHEMBL4758628,THRbeta,7.540,,1,0,Active,exact,COc1cc(C(=O)N2CC(C)OCC2CCO)cc2nc(NCc3cc(Cl)ccn3)oc12
CHEMBL3261318,THRbeta,5.110,,1,0,,exact,Cc1cc(CC(=O)O)cc(C)c1Oc1cc(C(C)C)c(=O)[nH]n1
CHEMBL249445,THRbeta,8.380,,1,0,Active,exact,O=C(O)Cc1cc(Br)c(Oc2ccc(O)c(C(=O)NCc3ccccc3)c2)c(Br)c1
CHEMBL486359,THRbeta,8.600,,1,0,Active,exact,CC(C)c1cc(Oc2c(Br)cc(CCP(=O)(O)O)cc2Br)ccc1O
CHEMBL236543,THRbeta,4.720,,1,0,Inactive,exact,CCCCCCc1ccc(C(=O)C2CO2)cc1
CHEMBL5590707,THRbeta,,4.301,0,1,Inactive,censored,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(CN)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O
CHEMBL394679,THRbeta,4.210,,1,0,Inactive,exact,C=CC(=O)Oc1ccc(CCC)cc1
CHEMBL559717,THRbeta,5.920,,1,0,,exact,CCCCCCSc1cc(Cl)c(C(=O)CCN(C)C)cc1Cl
CHEMBL263942,THRbeta,,5.648,0,1,,censored,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(=O)CNC(=O)O[C@@H]4C[C@@H]5CC(O)CC[C@]5(C)[C@H]5C[C@H](O)[C@]6(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]6[C@H]45)cc3)C[C@@]21C
CHEMBL2348889,THRbeta,,4.222,0,1,Inactive,censored,CN(Cc1ccccc1F)C(=O)CCNC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1
CHEMBL4748308,THRbeta,7.265,,2,0,Active,exact,COc1cc(C(=O)N2CC(C)C(O)CC2C)cc2nc(NCc3cccc(Cl)c3)oc12
CHEMBL384975,THRbeta,,5.648,0,1,,censored,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCNC(=O)N(C)C4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]45)cc3)C[C@@]21C
CHEMBL4792525,THRbeta,7.060,,1,0,Active,exact,CCC(O)c1cc(Oc2c(Cl)cc(NC(=O)c3noc(=O)[nH]3)cc2Cl)n[nH]c1=O
