chembl_id,pchembl_median,n_measurements,smiles
CHEMBL100231,7.715,4,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1
CHEMBL100595,7.565,4,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1
CHEMBL100617,8.310,4,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1
CHEMBL100763,8.025,4,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1
CHEMBL101083,8.520,5,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1
CHEMBL101382,7.750,6,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1
CHEMBL101719,7.425,2,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1
CHEMBL1018,6.670,2,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
CHEMBL101807,8.065,4,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1
CHEMBL101997,8.155,4,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1
CHEMBL1023,4.600,1,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL103294,7.985,4,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1
CHEMBL103305,7.830,4,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1
CHEMBL103650,6.540,2,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1
CHEMBL104416,5.840,1,CC/C(=C(/c1ccc(OCC(=O)O)cc1)c1cccc(O)c1)c1ccccc1
CHEMBL10560,7.050,1,CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(O)cc3CC[C@@H]2C1
CHEMBL106773,6.300,1,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCC(=O)O)cc1)c1ccccc1
CHEMBL1076306,5.210,1,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CCC[C@@H]12
CHEMBL1079905,4.540,1,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
CHEMBL1081361,6.110,1,C[C@]12CC[C@@H]3c4cc(Cl)c(O)cc4CC[C@H]3[C@@H]1CCCC2=O
CHEMBL1082224,8.480,1,Oc1ccc2c(c1)OCCC1=C2[C@@H](c2ccc(OCCN3CCCCCC3)cc2)Oc2cc(F)ccc21
CHEMBL1082528,8.300,1,Oc1ccc2c(c1)OCCC1=C2[C@H](c2ccc(OCCN3CCCCCC3)cc2)Oc2cc(F)ccc21
CHEMBL1082529,6.750,1,CN(C)CCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccccc2OCC3)cc1
CHEMBL1082539,7.960,1,Oc1ccc2c(c1)OCCC1=C2[C@@H](c2ccc(OCCN3CCCCCC3)cc2)Oc2ccccc21
