chembl_id,receptor,pchembl_median,pchembl_upper_bound,n_exact,n_censored,label,kind,smiles
CHEMBL4869951,ERalpha,6.000,,2,0,Active,exact,CCN(c1ccccc1Br)S(=O)(=O)C1CC2OC1C(c1ccc(NC(=O)CCCCCCC(=O)O)cc1)=C2c1ccc(O)cc1
CHEMBL1369482,ERalpha,5.040,,1,0,,exact,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O.[Na+]
CHEMBL95,ERalpha,,4.523,0,1,Inactive,censored,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL3589349,ERalpha,7.450,,2,0,Active,exact,O=C(O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1
CHEMBL5876132,ERalpha,7.190,,3,0,Active,exact,Oc1ccc2c(c1)CCCC(c1ccc(C(F)F)cc1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1
CHEMBL5195598,ERalpha,10.000,,1,0,Active,exact,Cc1c(Cl)cccc1C1=C(c2ccc(CC3CN(CCCF)C3)cc2)c2ccc(C(=O)O)cc2CCC1.Cl
CHEMBL592,ERalpha,,5.000,0,1,,censored,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
CHEMBL5899712,ERalpha,6.110,,3,0,Active,exact,O=C(O)c1ccc2c(c1)CCCC(c1ccccc1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1
CHEMBL1447305,ERalpha,4.760,,1,0,Inactive,exact,Cc1ccc(-c2nn3c(C)nnc3s2)cc1NC(=O)COc1ccc(Cl)cc1
CHEMBL441366,ERalpha,6.660,,1,0,Active,exact,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2
CHEMBL4755831,ERalpha,5.740,,1,0,,exact,Nc1ccc(C(Cn2ccnc2)=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1
CHEMBL395506,ERalpha,,5.699,0,1,,censored,C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21
CHEMBL46917,ERalpha,,4.523,0,1,Inactive,censored,CNC(=O)Oc1cccc2ccccc12
CHEMBL5072739,ERalpha,,6.000,0,2,,censored,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(N3CCS(=O)(=O)CC3)cc2F)N1CC(C)(C)F
CHEMBL4555331,ERalpha,8.090,,1,0,Active,exact,O=C(Nc1ccc2cc[nH]c2c1)c1ccc(C(F)(F)F)cc1
CHEMBL4649444,ERalpha,5.600,,1,0,,exact,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O
CHEMBL1580,ERalpha,,4.523,0,1,Inactive,censored,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
CHEMBL1237119,ERalpha,,4.523,0,1,Inactive,censored,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
CHEMBL82483,ERalpha,5.820,,1,0,,exact,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12
CHEMBL1164729,ERalpha,,4.523,0,1,Inactive,censored,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
CHEMBL131163,ERalpha,8.660,,1,0,Active,exact,Nc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1
CHEMBL4468912,ERalpha,8.330,,1,0,Active,exact,O=C(Nc1ccc2cc[nH]c2c1)c1ccc(Br)cc1
CHEMBL4247748,ERalpha,5.750,,1,0,,exact,CC(C)CC(NC(=O)[C@H](O)[C@H](N)Cc1ccccc1)C(=O)O
CHEMBL1201388,ERalpha,,4.523,0,1,Inactive,censored,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CHEMBL5280823,ERalpha,4.120,,1,0,Inactive,exact,O=C(C1=C(O)C(=O)N(c2ccccc2O)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1
CHEMBL4742066,ERalpha,8.590,,2,0,Active,exact,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1cc2ccccc2[nH]1)c1ccc(OC)cc1
