cid,smiles,molecular_weight
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,202.55
13,C1=CC(=C(C=C1Cl)Cl)Cl,181.4
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,490.6
403,C1=CC(=CC=C1N)O,109.13
671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,204.18
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,290.8
785,C1=CC(=CC=C1O)O,110.11
980,C1=CC(=CC=C1[N+](=O)[O-])O,139.11
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],291.26
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,266.3
996,C1=CC=C(C=C1)O,94.11
1091,O[Se](=O)O,128.99
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,180.20
1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,352.9
1474,C1=CC=NC(=C1)C2=CC=CC=N2,156.18
1483,C1=C(C=C(C(=C1Br)O)Br)Br,330.80
1539,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,181.23
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,268.4
1684,CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F,381.3
1730,C1=CC(=CC=C1C(=O)O)[Hg]Cl,357.16
1732,CC1=C(C=CC(=C1)O)Cl,142.58
1752,CCCCCCCCCC1=CC=C(C=C1)O,220.35
1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,326.4
1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,269.77
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,269.77
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.33
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.8
2126,CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C,351.4
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.16
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.8
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2,240.4
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6
2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,317.3
2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,424.1
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,252.3
2337,CCOC(=O)C1=CC=C(C=C1)N,165.19
2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,312.4
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19
2374,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,222.32
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.4
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,310.4
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,361.4
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,356.0
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,393.7
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,223.27
2482,CCCCOC(=O)C1=CC=C(C=C1)N,193.24
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,440.5
2543,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,310.4
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.27
2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,204.61
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,381.4
2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,213.66
2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,350.6
2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.9
2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,305.50
2799,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,365.3
2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.9
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,344.8
2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,362.8
2898,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,364.4
2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,416.3
2969,CCCCCCCCCC(=O)O,172.26
2998,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,293.4
3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74
3035,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,318.0
3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,354.5
3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,269.12
3039,COP(=O)(OC)OC=C(Cl)Cl,220.97
3109,C1=CC=[N+](C(=C1)SSC2=CC=CC=[N+]2[O-])[O-],252.3
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5
3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,233.09
3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,270.24
3224,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,406.9
3225,C1CC2C(C(C1O2)C(=O)O)C(=O)O,186.16
3242,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,234.25
3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,303.13
3286,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,384.5
3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,217.31
3295,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,258.3
3316,CCCCCCOC1=CC=CC=C1C(=O)N,221.29
3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,384.2
3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,299.3
3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8
