cid,smiles,molecular_weight
4,CC(CN)O,75.11
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,202.55
11,C(CCl)Cl,98.96
13,C1=CC(=C(C=C1Cl)Cl)Cl,181.4
33,C(C=O)Cl,78.50
34,C(CCl)O,80.51
51,C(CC(=O)O)C(=O)C(=O)O,146.10
66,C1=CC(=C(C=C1Cl)O)Cl,163.00
72,C1=CC(=C(C=C1C(=O)O)O)O,154.12
79,C1=CC(=CN=C1)C#N,104.11
107,C1=CC=C(C=C1)CCC(=O)O,150.17
119,C(CC(=O)O)CN,103.12
135,C1=CC(=CC=C1C(=O)O)O,138.12
174,C(CO)O,62.07
176,CC(=O)O,60.05
177,CC=O,44.05
178,CC(=O)N,59.07
179,CC(C(=O)C)O,88.11
180,CC(=O)C,58.08
190,C1=NC2=NC=NC(=C2N1)N,135.13
196,C(CCC(=O)O)CC(=O)O,146.14
204,C1(C(=O)NC(=O)N1)NC(=O)N,158.12
227,C1=CC=C(C(=C1)C(=O)O)N,137.14
240,C1=CC=C(C=C1)C=O,106.12
241,C1=CC=CC=C1,78.11
243,C1=CC=C(C=C1)C(=O)O,122.12
244,C1=CC=C(C=C1)CO,108.14
247,C[N+](C)(C)CC(=O)[O-],117.15
261,CCCC=O,72.11
262,CC(C(C)O)O,90.12
263,CCCCO,74.12
264,CCCC(=O)O,88.11
289,C1=CC=C(C(=C1)O)O,110.11
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,490.6
300,C(C(=O)O)Cl,94.50
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.12
323,C1=CC=C2C(=C1)C=CC(=O)O2,146.14
325,CC(C)C1=CC=C(C=C1)CO,150.22
326,CC(C)C1=CC=C(C=C1)C=O,148.20
332,COC1=C(C=CC(=C1)C=C)O,150.17
335,CC1=CC=CC=C1O,108.14
338,C1=CC=C(C(=C1)C(=O)O)O,138.12
342,CC1=CC(=CC=C1)O,108.14
356,CCCCCCCC,114.23
370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12
379,CCCCCCCC(=O)O,144.21
385,C(CCC(=O)O)CCC(=O)O,160.17
398,CC(C)[N+](=O)[O-],89.09
403,C1=CC(=CC=C1N)O,109.13
447,C1=CC(=CC(=C1)Cl)C(=O)O,156.56
454,CCCCCCCC=O,128.21
460,COC1=CC=CC=C1O,124.14
464,C1=CC=C(C=C1)C(=O)NCC(=O)O,179.17
525,C(C(C(=O)O)O)C(=O)O,134.09
527,CCC=O,58.08
541,C1=CC(=CC=C1C=O)[N+](=O)[O-],151.12
546,C(C(=O)O)P(=O)(O)O,140.03
564,C(CCC(=O)O)CCN,131.17
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,168.19
594,C(C(C(=O)O)N)S,121.16
597,C1=C(NC(=O)N=C1)N,111.10
612,CC(C(=O)O)O,90.08
614,C1CC(NC1)C(=O)O,115.13
650,CC(=O)C(=O)C,86.09
660,C1CC(=O)OC2=CC=CC=C21,148.16
671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,204.18
674,CNC,45.08
679,CS(=O)C,78.14
681,C1=CC(=C(C=C1CCN)O)O,153.18
700,C(CO)N,61.08
701,CCOC(=O)C(C)C(=O)C,144.17
702,CCO,46.07
712,C=O,30.026
713,C(=O)N,45.041
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,290.8
743,C(CC(=O)O)CC(=O)O,132.11
750,C(C(=O)O)N,75.07
753,C(C(CO)O)O,92.09
757,C(C(=O)O)O,76.05
774,C1=C(NC=N1)CCN,111.15
785,C1=CC(=CC=C1O)O,110.11
795,C1=CN=CN1,68.08
798,C1=CC=C2C(=C1)C=CN2,117.15
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,175.18
803,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O,203.19
807,II,253.8089
811,C=C(CC(=O)O)C(=O)O,130.10
863,C1CSSC1CCCCC(=O)N,205.3
864,C1CSSC1CCCCC(=O)O,206.3
867,C(C(=O)O)C(=O)O,104.06
875,C(C(C(=O)O)O)(C(=O)O)O,150.09
876,CSCCC(C(=O)O)N,149.21
880,CC(=O)C=O,72.06
887,CO,32.042
892,C1(C(C(C(C(C1O)O)O)O)O)O,180.16
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.28
904,CC(=O)NC1=CC=CC=C1,135.16
931,C1=CC=C2C=CC=CC2=C1,128.17
936,C1=CC(=CN=C1)C(=O)N,122.12
938,C1=CC(=CN=C1)C(=O)O,123.11
949,CN(C)C1=CC=CC=C1,121.18
957,CCCCCCCCO,130.23
967,C1=C(NC(=O)NC1=O)C(=O)O,156.10
970,C(C(=O)C(=O)O)C(=O)O,132.07
971,C(=O)(C(=O)O)O,90.03
978,C1=CC(=CC=C1C(=O)O)N,137.14
980,C1=CC(=CC=C1[N+](=O)[O-])O,139.11
985,CCCCCCCCCCCCCCCC(=O)O,256.42
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],291.26
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,266.3
994,C1=CC=C(C=C1)CC(C(=O)O)N,165.19
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,178.23
996,C1=CC=C(C=C1)O,94.11
997,C1=CC=C(C=C1)CC(=O)C(=O)O,164.16
998,C1=CC=C(C=C1)CC=O,120.15
999,C1=CC=C(C=C1)CC(=O)O,136.15
1004,OP(=O)(O)O,97.995
1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O,166.13
1018,C1=CC=NC(=C1)C(=O)O,123.11
1030,CC(CO)O,76.09
1031,CCCO,60.10
1032,CCC(=O)O,74.08
1046,C1=CN=C(C=N1)C(=O)N,123.11
1049,C1=CC=NC=C1,79.10
1050,CC1=NC=C(C(=C1O)C=O)CO,167.16
1053,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,248.17
1054,CC1=NC=C(C(=C1O)CO)CO,169.18
1057,C1=CC(=C(C(=C1)O)O)O,126.11
1060,CC(=O)C(=O)O,88.06
1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O,167.12
1080,C(C(C(=O)O)N)SCC(=O)O,179.20
1091,O[Se](=O)O,128.99
1110,C(CC(=O)O)C(=O)O,118.09
1118,OS(=O)(=O)O,98.08
1123,C(CS(=O)(=O)O)N,125.15
1127,C1CCSC1,88.17
1133,C(C(=O)O)S,92.12
1135,CC1=CNC(=O)NC1=O,126.11
1136,CC1=C(SC=N1)CCO,143.21
1140,CC1=CC=CC=C1,92.14
1146,CN(C)C,59.11
1148,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.22
1174,C1=CNC(=O)NC1=O,112.09
1175,C12=C(NC(=O)N1)NC(=O)NC2=O,168.11
1176,C(=O)(N)N,60.056
1183,COC1=C(C=CC(=C1)C=O)O,152.15
1254,CC1CCC(C(C1)O)C(C)C,156.26
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,180.20
1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,352.9
1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,196.67
1359,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,212.17
1390,CN1C=CN=C1,82.10
1392,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,523.7
1474,C1=CC=NC(=C1)C2=CC=CC=N2,156.18
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,255.5
1483,C1=C(C=C(C(=C1Br)O)Br)Br,330.80
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,221.03
1488,COC(=O)COC1=C(C=C(C=C1)Cl)Cl,235.06
1489,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,249.09
1491,C1=CC(=C(C=C1O)O)C(=O)O,154.12
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,184.11
1533,CC1=CC(=NC=C1)N,108.14
1539,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,181.23
1639,C1=NNC(=N1)N,84.08
1672,COCCCN,89.14
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,268.4
1676,CCCN1C2=C(C(=O)NC1=O)NC=N2,194.19
1678,C(C[N+](=O)[O-])C(=O)O,119.08
1684,CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F,381.3
1687,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,341.9
1727,C1=CN=CC=C1N,94.11
1730,C1=CC(=CC=C1C(=O)O)[Hg]Cl,357.16
1732,CC1=C(C=CC(=C1)O)Cl,142.58
1752,CCCCCCCCCC1=CC=C(C=C1)O,220.35
