cid,receptor,label
16043,ERalpha,hard_negative
2724411,ERalpha,positive
7048801,ERalpha,positive
5920,ERalpha,positive
2333,ERalpha,positive
443939,ERalpha,positive
65758,ERalpha,hard_negative
71203,ERalpha,hard_negative
2170,ERalpha,hard_negative
5283389,ERalpha,hard_negative
4768,ERalpha,hard_negative
2554,ERalpha,hard_negative
2812,ERalpha,positive
3339,ERalpha,hard_negative
3397,ERalpha,positive
5280961,ERalpha,positive
3899,ERalpha,hard_negative
3957,ERalpha,positive
4122,ERalpha,hard_negative
51082,ERalpha,positive
4507,ERalpha,hard_negative
4477,ERalpha,hard_negative
71398,ERalpha,hard_negative
4474,ERalpha,positive
4485,ERalpha,hard_negative
4493,ERalpha,hard_negative
4932,ERalpha,hard_negative
61100,ERalpha,hard_negative
5074,ERalpha,hard_negative
5070,ERalpha,hard_negative
54900,ERalpha,positive
37542,ERalpha,positive
5265,ERalpha,positive
24871267,ERalpha,hard_negative
62935,ERalpha,hard_negative
5452,ERalpha,positive
2998,ERalpha,hard_negative
71399,ERalpha,hard_negative
5803,ERalpha,positive
5857,ERalpha,hard_negative
3440,ERalpha,hard_negative
9552079,ERalpha,positive
6708701,ERalpha,positive
4993,ERalpha,hard_negative
3278,ERalpha,hard_negative
5333,ERalpha,hard_negative
54682468,ERalpha,positive
54676038,ERalpha,positive
5340,ERalpha,hard_negative
192197,ERalpha,hard_negative
3293,ERalpha,hard_negative
2337,ERalpha,positive
2482,ERalpha,positive
7184,ERalpha,positive
3735,ERalpha,positive
7638,ERalpha,hard_negative
5344,ERalpha,hard_negative
4641,ERalpha,hard_negative
8569,ERalpha,hard_negative
3503,ERalpha,positive
224246,ERalpha,hard_negative
9878,ERalpha,hard_negative
10830,ERalpha,hard_negative
11289,ERalpha,positive
2391,ERalpha,positive
9570076,ERalpha,hard_negative
236702,ERalpha,hard_negative
64722,ERalpha,hard_negative
5510,ERalpha,hard_negative
2466,ERalpha,hard_negative
3634,ERalpha,positive
3242,ERalpha,hard_negative
5420805,ERalpha,hard_negative
108013,ERalpha,hard_negative
446541,ERalpha,positive
35375,ERalpha,hard_negative
4030,ERalpha,hard_negative
36462,ERalpha,positive
