SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-2.995,grid,-2.995,-1.331,-0.2353,-0.0,-1.085,-24.36,-2.88,1.307,0.0,-26.62,-27.24,8.78
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-2.967,grid,-2.967,-1.287,-0.1241,-0.0,-1.087,-26.56,-2.985,1.307,0.0,-26.55,-29.55,13.47
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.729,grid,-1.729,-0.8755,0.0,-0.0,-1.087,-23.21,0.5792,1.307,0.0,-23.18,-22.63,3.245
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.74,grid,-1.74,-0.8435,0.0,-0.0,-1.057,-20.74,-0.7334,1.307,0.0,-21.83,-21.47,3.657
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-2.182,grid,-2.182,-1.305,0.0,-0.0,-1.071,-20.35,-0.6401,1.307,0.0,-20.42,-20.99,6.645
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.79,grid,-1.79,-0.8142,0.0,-0.0,-1.088,-20.01,-1.295,1.307,0.0,-20.32,-21.3,6.462
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.168,grid,-1.168,-0.4702,0.0,-0.0,-1.053,-19.38,0.1173,1.307,0.0,-18.58,-19.27,4.317
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.612,grid,-1.612,-0.6735,0.0,-0.0,-1.088,-18.95,-1.403,1.307,0.0,-17.39,-20.36,9.992
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-1.425,grid,-1.425,-0.6216,0.0,-0.0,-1.087,-19.36,-0.3675,1.307,0.0,-16.99,-19.73,9.064
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.494,-0.6953,grid,-0.6953,-0.5593,0.0,-0.0,-0.3011,-21.26,-0.5267,1.307,0.0,-16.9,-21.79,11.53
