SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-6.491,grid,-6.491,-5.474,-0.04406,-0.0,-0.8315,-35.39,2.134,1.307,0.0,-35.98,-33.25,10.25
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-6.208,grid,-6.208,-4.987,0.0,-0.0,-1.161,-26.68,-0.2269,1.307,0.0,-26.84,-26.9,15.13
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-4.408,grid,-4.408,-4.667,0.0,-0.0,0.2616,-26.37,0.05776,1.307,0.0,-25.65,-26.31,11.99
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.768,grid,-1.768,-0.367,-0.32,-0.0,-1.086,-20.43,-1.873,1.307,0.0,-23.16,-22.3,2.565
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.641,grid,-1.641,-0.4103,-0.04648,-0.0,-1.002,-23.13,-2.224,1.307,0.0,-22.73,-25.35,9.206
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-2.335,grid,-2.335,-0.9979,0.0,-0.0,-1.088,-26.12,-1.666,1.307,0.0,-22.59,-27.79,16.05
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.773,grid,-1.773,-0.4393,-0.184,-0.0,-1.076,-19.24,-2.794,1.307,0.0,-21.75,-22.03,4.864
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.308,grid,-1.308,-0.2771,-0.06879,-0.0,-1.088,-19.1,-1.513,1.307,0.0,-20.9,-20.62,2.59
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-5.902,grid,-5.902,-5.624,0.0,-0.0,-0.6592,-22.12,1.2,1.307,0.0,-20.65,-20.92,14.83
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.138,grid,-1.138,-0.4444,0.0,-0.0,-1.087,-19.63,0.449,1.307,0.0,-19.47,-19.18,2.161
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.415,grid,-1.415,-0.1773,-0.2562,-0.0,-1.082,-19.12,-1.67,1.307,0.0,-18.6,-20.78,7.793
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-5.758,grid,-5.758,-5.2,-0.08893,-0.0,-0.925,-20.45,1.138,1.307,0.0,-18.49,-19.31,15.58
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-6.362,grid,-6.362,-5.081,-0.1093,-0.0,-1.788,-15.97,0.7194,1.307,0.0,-18.47,-15.25,8.968
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-0.8853,grid,-0.8853,-0.08798,0.0,-0.0,-1.081,-20.14,-0.1146,1.307,0.0,-17.39,-20.25,7.86
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.178,grid,-1.178,-0.3829,0.0,-0.0,-1.078,-18.25,-0.745,1.307,0.0,-17.08,-19.0,6.68
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-5.938,grid,-5.938,-5.011,0.0,-0.0,-1.611,-17.26,1.597,1.307,0.0,-16.11,-15.66,13.45
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-5.228,grid,-5.228,-5.298,0.0,-0.0,-0.4182,-15.81,-0.1922,1.307,0.0,-15.96,-16.0,12.74
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,5.756,-1.182,grid,-1.182,-0.3344,-0.1962,-0.0,-0.9784,-16.55,-1.02,1.307,0.0,-15.3,-17.57,7.392
