SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.376,grid,-9.376,-5.382,-0.32,-0.0,-1.919,-48.65,-4.195,1.307,0.0,-77.67,-52.84,7.443
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.22,grid,-9.22,-5.485,-0.231,-0.0,-1.983,-48.24,-2.772,1.307,0.0,-77.1,-51.01,3.981
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.27,grid,-9.27,-5.66,-0.3025,-0.0,-1.985,-47.99,-1.534,1.307,0.0,-77.04,-49.53,1.422
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.285,grid,-9.285,-5.513,-0.32,-0.0,-1.986,-47.4,-2.686,1.307,0.0,-76.61,-50.09,3.489
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.626,grid,-9.626,-5.535,-0.5485,-0.0,-1.986,-44.3,-4.319,1.307,0.0,-76.48,-48.62,2.9
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-8.924,grid,-8.924,-5.403,-0.1548,-0.0,-1.988,-49.09,-1.54,1.307,0.0,-76.02,-50.63,3.579
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.009,grid,-9.009,-5.539,-0.1482,-0.0,-1.96,-49.42,-1.323,1.307,0.0,-75.65,-50.74,5.043
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.14,grid,-9.14,-5.41,-0.2792,-0.0,-1.984,-46.43,-3.022,1.307,0.0,-75.59,-49.45,3.393
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.011,grid,-9.011,-5.372,-0.2055,-0.0,-1.979,-48.11,-2.379,1.307,0.0,-75.53,-50.49,4.803
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.469,-9.074,grid,-9.074,-5.395,-0.2783,-0.0,-1.968,-48.32,-2.16,1.307,0.0,-75.09,-50.48,6.033
