SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-2.339,grid,-2.339,-1.44,0.0,-0.0,-0.4803,-30.71,-1.268,1.307,0.0,-27.03,-31.98,16.04
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-2.132,grid,-2.132,-1.058,-0.4693,-0.0,-0.0251,-21.07,-5.555,1.307,0.0,-25.13,-26.62,8.577
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-1.393,grid,-1.393,-0.1093,-0.02453,-0.0,-0.8136,-23.34,-3.904,1.307,0.0,-25.06,-27.24,8.025
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-2.444,grid,-2.444,-0.6001,-0.48,-0.0,-1.026,-19.67,-4.409,1.307,0.0,-24.01,-24.08,6.561
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-1.359,grid,-1.359,-0.3691,0.0,-0.0,-0.8807,-23.61,-1.577,1.307,0.0,-22.32,-25.18,9.287
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-1.281,grid,-1.281,-0.7889,-0.32,-0.0,-0.129,-18.29,-2.907,1.307,0.0,-19.24,-21.2,7.283
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-1.451,grid,-1.451,-0.9266,0.0,-0.0,-0.621,-26.35,0.7094,1.307,0.0,-19.21,-25.64,16.66
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-2.002,grid,-2.002,-1.337,0.0,-0.0,-0.7521,-22.46,-0.6516,1.307,0.0,-18.99,-23.12,13.5
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-0.162,grid,-0.162,-0.156,0.0,-0.0,-0.1222,-22.15,-0.5566,1.307,0.0,-17.23,-22.71,11.38
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,4.338,-0.8933,grid,-0.8933,-0.4375,0.0,-0.0,-1.063,-14.87,0.2925,1.307,0.0,-14.68,-14.58,2.153
