SMILES,title,i_i_glide_lignum,docking_status,message,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-8.215,grid,-8.215,-5.143,-0.3522,-0.0,-1.383,-45.58,-2.426,1.307,0.0,-69.65,-48.01,4.718
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.943,grid,-7.943,-4.771,-0.32,-0.0,-1.566,-44.52,-2.451,1.307,0.0,-68.74,-46.97,2.87
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.97,grid,-7.97,-5.161,-0.13,-0.0,-1.546,-45.1,-1.234,1.307,0.0,-67.42,-46.33,4.397
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.833,grid,-7.833,-5.048,0.0,-0.0,-1.722,-45.02,-0.796,1.307,0.0,-67.04,-45.82,3.311
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-8.236,grid,-8.236,-4.947,-0.4444,-0.0,-1.467,-44.72,-2.996,1.307,0.0,-66.39,-47.72,10.77
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.898,grid,-7.898,-5.179,0.0,-0.0,-1.736,-44.11,-0.5673,1.307,0.0,-66.29,-44.67,2.901
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.788,grid,-7.788,-5.151,-0.1308,-0.0,-1.417,-45.56,-0.7947,1.307,0.0,-65.59,-46.36,7.041
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.9,grid,-7.9,-4.801,-0.4504,-0.0,-1.344,-43.99,-2.75,1.307,0.0,-64.67,-46.74,10.29
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.783,grid,-7.783,-5.191,-0.1334,-0.0,-1.427,-44.36,-0.8068,1.307,0.0,-64.45,-45.17,6.901
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.406,grid,-7.406,-4.964,-0.1253,-0.0,-1.166,-46.4,-0.9115,1.307,0.0,-64.14,-47.31,9.617
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.799,grid,-7.799,-5.249,-0.16,-0.0,-1.293,-42.62,-1.831,1.307,0.0,-63.79,-44.45,6.883
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.429,grid,-7.429,-4.672,-0.2692,-0.0,-1.644,-43.93,0.3001,1.307,0.0,-63.67,-43.63,3.318
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-8.079,grid,-8.079,-5.408,0.0,-0.0,-1.803,-42.13,-0.4627,1.307,0.0,-63.65,-42.59,5.079
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.727,grid,-7.727,-5.192,0.0,-0.0,-1.644,-45.99,0.6767,1.307,0.0,-63.37,-45.31,9.032
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.301,grid,-7.301,-4.724,-0.2793,-0.0,-1.205,-40.87,-2.38,1.307,0.0,-62.86,-43.25,3.435
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.407,grid,-7.407,-4.979,0.0,-0.0,-1.449,-42.74,-0.9983,1.307,0.0,-62.77,-43.74,5.213
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.577,grid,-7.577,-4.589,-0.4006,-0.0,-1.684,-41.34,-0.9568,1.307,0.0,-62.71,-42.3,3.448
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.275,grid,-7.275,-4.856,0.0,-0.0,-1.594,-43.34,0.2287,1.307,0.0,-62.59,-43.11,3.531
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.307,grid,-7.307,-4.927,0.0,-0.0,-1.699,-44.02,1.418,1.307,0.0,-62.47,-42.6,2.954
CC(C)(c1ccc(OC[C@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_000,1,Done,,6.734,-7.512,grid,-7.512,-4.85,-0.2358,-0.0,-1.553,-43.07,-0.1824,1.307,0.0,-62.36,-43.25,5.678
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,6.24,-8.007,grid,-8.007,-4.73,-0.4235,-0.0,-1.621,-44.14,-2.218,1.307,0.0,-68.53,-46.35,2.898
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,6.24,-7.881,grid,-7.881,-5.203,0.0,-0.0,-1.533,-45.89,-1.047,1.307,0.0,-68.19,-46.94,4.015
CC(C)(c1ccc(OC[C@@H]2CO2)cc1)c1ccc(OC[C@H]2CO2)cc1,BPA_CID2286__prepared_state_001,2,Done,,6.24,-8.142,grid,-8.142,-5.185,-0.1358,-0.0,-1.513,-45.02,-2.429,1.307,0.0,-67.96,-47.45,7.038
