chembl_id,label,pchembl,smiles
CHEMBL191715,Active,6.360,Oc1ccc(-c2ccc3ccc(O)cc3c2)cc1
CHEMBL5080148,Active,7.580,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(N3CCC(F)(F)CC3)cc2F)N1CC(C)(C)F
CHEMBL5943322,Active,7.920,Cc1ncc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F
CHEMBL4168602,Active,6.590,c1ccc(Cn2c(-c3nc4ccccc4[nH]3)cc3ccccc32)cc1
CHEMBL5972587,Active,8.700,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)F
CHEMBL3581693,Active,9.070,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2[nH]ncc2c1)c1ccc(F)cc1Cl
CHEMBL150279,Active,6.520,CN(CCCc1ccc(F)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1
CHEMBL5590745,Active,6.430,O=C(CCCCCOc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1)NO
CHEMBL5922259,Active,6.280,CCN1CCc2cc(C3=C(c4ccc(O[C@H]5CCN(CCCF)C5)cc4)c4ccc(O)cc4CCC3)ccc21
CHEMBL3657161,Active,8.050,Cc1c(-c2cccc(O)c2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
CHEMBL5759754,Active,7.770,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cc(OCCNCCCF)ncn2)N1CC(F)(F)F
CHEMBL6167347,Active,7.310,CC/C(=C(/c1ccc(-c2ccc(C(=O)O)cc2)cc1)c1ccc(-c2cn[nH]c2)cc1)c1ccc(F)cc1Cl
CHEMBL193064,Active,6.630,CCc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12
CHEMBL368688,Active,9.050,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCC3CC4)cc2)cc1
CHEMBL124474,Active,8.850,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CCCN3CCCCC3)cc2)cc1
CHEMBL371624,Active,6.980,N#Cc1cc(-c2ccc(O)cc2)cc2ccc(O)cc12
CHEMBL5400175,Active,8.060,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cccc(OCCNCCCF)c2)N1CC1(F)COC1
