cid,tox21_outcome,vina_affinity,seconds
CHEMBL1337826,Inactive,-2.576,18.0
CHEMBL4538724,Active,1.588,28.6
CHEMBL1414254,Inactive,-5.154,4.1
CHEMBL1325233,Inactive,-6.362,15.9
CHEMBL100231,Active,0.945,45.2
CHEMBL6014652,Active,-2.034,37.7
CHEMBL66879,Inactive,-6.140,4.0
CHEMBL1464070,Inactive,3.660,30.3
CHEMBL1300662,Inactive,-7.261,6.0
CHEMBL1603599,Inactive,-7.006,11.4
CHEMBL5853394,Active,0.873,39.2
CHEMBL250104,Inactive,-5.857,13.7
CHEMBL1320651,Inactive,-4.666,51.1
CHEMBL185114,Active,-3.377,38.4
CHEMBL194805,Inactive,-8.531,4.6
CHEMBL203724,Inactive,-6.556,7.1
CHEMBL1370120,Inactive,-5.541,15.6
CHEMBL408513,Inactive,-8.766,12.9
CHEMBL5928467,Active,-4.470,45.4
CHEMBL1087040,Active,-0.803,37.5
CHEMBL5087008,Active,-4.084,143.6
CHEMBL377694,Active,-8.985,5.3
CHEMBL436859,Active,34.410,427.1
CHEMBL181404,Active,-1.638,36.6
CHEMBL285802,Inactive,-7.541,6.9
