cid,tox21_outcome,vina_affinity,seconds
7034,Inactive,-7.232,3.6
67589,Active,-7.119,4.3
16306,Inactive,-5.091,8.1
32912,Active,-6.646,19.7
91744,Active,-5.945,6.4
50367,Active,-4.988,6.8
2391,Active,-6.771,16.1
35751,Inactive,-7.253,6.9
20686,Inactive,-4.150,2.9
8540,Active,-7.020,6.4
17435,Inactive,-6.357,10.6
17049,Inactive,-3.952,3.5
7570,Inactive,-6.668,6.4
19165,Inactive,-7.715,3.5
87323,Active,-5.507,2.1
1549520,Active,-6.497,2.8
80786,Inactive,-5.938,3.0
22833489,Active,-6.107,7.7
232446,Active,-9.541,7.4
32518,Inactive,-6.878,20.9
73339,Inactive,-6.257,4.7
12040509,Active,-5.957,9.6
157917,Active,-0.839,162.7
10250129,Active,-6.201,11.2
92942,Inactive,-4.075,14.8
